asset_id,display_name,binary_result,review_band,overall_growth_form,roots_or_attachment,stem_trunk,leaves_fronds,flower_fruit_spore_harvest,scale_and_silhouette,assessment_and_required_fix,changed_since_previous_pass,filename,width,height,mode,sha256,exact_duplicate_with,prior_review_band,expected_growth_family,strict_status,manual_recheck_note,template_family_note,strict_assessment,binary_gate,status_change_from_prior
Amaranth,Amaranth,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified.",False,Amaranth.png,440,440,RGBA,935ee681ba36be2bc134f41dd84ecafed53fdc7ea4d160adef1c9af29b0dd068,,PASS_WITH_POLISH,7. Grain and Staple Crops,HOLD,,"Correct the culm, leaf arrangement and species-specific seed head/inflorescence; many grains currently share one generic spike or grass tuft.","No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Correct the culm, leaf arrangement and species-specific seed head/inflorescence; many grains currently share one generic spike or grass tuft.",FAIL,PASS_WITH_POLISH -> HOLD
Angel's_Trumpet,Angel's Trumpet,FAIL,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL,Add woody shrub/tree structure with large hanging trumpet flowers.,False,Angel's_Trumpet.png,440,440,RGBA,88db67b9b90510be34cbffa31441b67d8d3bc5ba905c034e5d6f91f71a9a331f,,FAIL,Other plant or harvest type,FAIL,,"Angel's Trumpet needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","Add woody shrub/tree structure with large hanging trumpet flowers. Angel's Trumpet needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,UNCHANGED
Angelica,Angelica,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,Add compound umbels and broader herb structure.,False,Angelica.png,440,440,RGBA,199f70412e4a5993f8b558e473e91ce493c54c2e60910b58fee718aec36a7ced,,PASS_WITH_POLISH,Other plant or harvest type,HOLD,,"Angelica needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","Add compound umbels and broader herb structure. Angelica needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,PASS_WITH_POLISH -> HOLD
Anise,Anise,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified.",False,Anise.png,440,440,RGBA,8701b9bd8201ebc31bd6c14b7a41432d5c05624b88e97013fcdc875ef3088840,,PASS_WITH_POLISH,Other plant or harvest type,HOLD,,"Anise needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Anise needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,PASS_WITH_POLISH -> HOLD
Apple,Apple,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified.",False,Apple.png,440,440,RGBA,da952fc48cadd601553084c719e7f2336bd8de2a20619c0ffb208eadd6f6ba6e,,PASS_WITH_POLISH,4. Fruit and Nut Trees,HOLD,,"The catalog overuses a round canopy on a straight trunk. Match the species’ trunk habit, branching architecture, crown shape, leaf masses, bark and fruit/flower attachment.","No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. The catalog overuses a round canopy on a straight trunk. Match the species’ trunk habit, branching architecture, crown shape, leaf masses, bark and fruit/flower attachment.",FAIL,PASS_WITH_POLISH -> HOLD
Apricot,Apricot,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified.",False,Apricot.png,440,440,RGBA,59bbf0392d25752d7591ff2655d1c1fb5311a0cd6a123d7693dd150cec3d93e4,,PASS_WITH_POLISH,4. Fruit and Nut Trees,HOLD,,"The catalog overuses a round canopy on a straight trunk. Match the species’ trunk habit, branching architecture, crown shape, leaf masses, bark and fruit/flower attachment.","No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. The catalog overuses a round canopy on a straight trunk. Match the species’ trunk habit, branching architecture, crown shape, leaf masses, bark and fruit/flower attachment.",FAIL,PASS_WITH_POLISH -> HOLD
Arctic_Blueberry,Arctic Blueberry,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified.",False,Arctic_Blueberry.png,440,440,RGBA,1706e880e6a537d53ca22de7b609149d8a669fe06402a0ac3b8c9ad36c3306f5,,PASS_WITH_POLISH,Other plant or harvest type,HOLD,,"Arctic Blueberry needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Arctic Blueberry needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,PASS_WITH_POLISH -> HOLD
Arctic_Sorrel,Arctic Sorrel,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified.",False,Arctic_Sorrel.png,440,440,RGBA,47b54c56b2c65d236336220ed445c57fe877bba36d32e8bffb12c7520318780c,,PASS_WITH_POLISH,Other plant or harvest type,HOLD,,"Arctic Sorrel needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Arctic Sorrel needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,PASS_WITH_POLISH -> HOLD
Arctic_Willow,Arctic Willow,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified.",False,Arctic_Willow.png,440,440,RGBA,91116f325f29a5a3e08ce43cda80b272b69503aa1fc85f2413b68f081a5f1f75,,PASS_WITH_POLISH,Other plant or harvest type,HOLD,,"Arctic Willow needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Arctic Willow needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,PASS_WITH_POLISH -> HOLD
Arnica,Arnica,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified.",False,Arnica.png,440,440,RGBA,83a7cdc7580fb4d8cfa77922e0ce1c5194e2f5a604bd4980675bf07526f9958c,,PASS_WITH_POLISH,Other plant or harvest type,HOLD,,"Arnica needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Arnica needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,PASS_WITH_POLISH -> HOLD
Arrowhead,Arrowhead,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,Current organ-like blobs read as harvest items; source plant should show aquatic arrow-shaped leaves.,False,Arrowhead.png,440,440,RGBA,76f44563147eab12a1ac5690a9cbe4a883954d0a748b55eb49942c058fb5aba2,,PASS_WITH_POLISH,Other plant or harvest type,HOLD,,"Arrowhead needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","Current organ-like blobs read as harvest items; source plant should show aquatic arrow-shaped leaves. Arrowhead needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,PASS_WITH_POLISH -> HOLD
Arrowroot,Arrowroot,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,Current rosette lacks the broad tropical leaves and rhizome/source relationship.,False,Arrowroot.png,440,440,RGBA,9178e5a23d708fd4c16097e08c583fdff8c0d34b3fb0cc3630e2d8351a61dcef,,PASS_WITH_POLISH,7. Grain and Staple Crops,HOLD,,"Correct the culm, leaf arrangement and species-specific seed head/inflorescence; many grains currently share one generic spike or grass tuft.","Current rosette lacks the broad tropical leaves and rhizome/source relationship. Correct the culm, leaf arrangement and species-specific seed head/inflorescence; many grains currently share one generic spike or grass tuft.",FAIL,PASS_WITH_POLISH -> HOLD
Avocado,Avocado,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified.",False,Avocado.png,440,440,RGBA,f270e3770a6880f14d2fdbcb64af18e1c9e4cf9dc2297bc86a007a944ae866ef,,PASS_WITH_POLISH,4. Fruit and Nut Trees,HOLD,,"The catalog overuses a round canopy on a straight trunk. Match the species’ trunk habit, branching architecture, crown shape, leaf masses, bark and fruit/flower attachment.","No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. The catalog overuses a round canopy on a straight trunk. Match the species’ trunk habit, branching architecture, crown shape, leaf masses, bark and fruit/flower attachment.",FAIL,PASS_WITH_POLISH -> HOLD
Bamboo_Shoots,Bamboo Shoots,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,Clarify as a harvest item with conical shoots rather than a generic grass tuft.,False,Bamboo_Shoots.png,440,440,RGBA,8ffa0a02c809e78557e57f9ca83f7c6d13a28373930e934e59e461132f7f92c9,,PASS_WITH_POLISH,Other plant or harvest type,HOLD,,"Bamboo Shoots needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","Clarify as a harvest item with conical shoots rather than a generic grass tuft. Bamboo Shoots needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,PASS_WITH_POLISH -> HOLD
Banana,Banana,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Broad banana leaves and fruit cluster read clearly.,False,Banana.png,440,440,RGBA,f1cc363578bcdf7fde9cac0e70f1f7977905827d4499fb501fed7f2022ae1541,,PASS,Other plant or harvest type,FAIL,"Current palm-like trunk/crown does not match a banana plant. Use a giant herb with overlapping pseudostem, very broad torn leaves, and a hanging banana bunch with terminal flower.","Banana needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","Current palm-like trunk/crown does not match a banana plant. Use a giant herb with overlapping pseudostem, very broad torn leaves, and a hanging banana bunch with terminal flower.",FAIL,PASS -> FAIL
Baobab,Baobab,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Massive bottle trunk and compact crown are recognizable.,False,Baobab.png,440,440,RGBA,b24bf6bb45db3381d5b21b148ebf11abf31450900b275a7a684476b8362753b5,,PASS,Tropical trees,PASS,,"The catalog overuses a round canopy on a straight trunk. Match the species’ trunk habit, branching architecture, crown shape, leaf masses, bark and fruit/flower attachment.",PASS — Leave alone. The source plant or harvest organ has an appropriate growth form and recognizable silhouette.,PASS,UNCHANGED
Barley,Barley,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,Add a distinct long-awned grain head.,False,Barley.png,440,440,RGBA,7f98d882b1a082c0b4396dfbda13043ebc90664f3cad9d5b8e2bf3caa302af3c,,PASS_WITH_POLISH,7. Grain and Staple Crops,HOLD,,"Correct the culm, leaf arrangement and species-specific seed head/inflorescence; many grains currently share one generic spike or grass tuft.","Add a distinct long-awned grain head. Correct the culm, leaf arrangement and species-specific seed head/inflorescence; many grains currently share one generic spike or grass tuft.",FAIL,PASS_WITH_POLISH -> HOLD
Barrel_Cactus_Fruit,Barrel Cactus Fruit,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified.",False,Barrel_Cactus_Fruit.png,440,440,RGBA,b92326a7111e16418ba318e989e0dcb7998f7a63f5d80fe3b955a1632d60b931,,PASS_WITH_POLISH,Other plant or harvest type,HOLD,,"Barrel Cactus Fruit needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Barrel Cactus Fruit needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,PASS_WITH_POLISH -> HOLD
Bay_Laurel,Bay Laurel,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified.",False,Bay_Laurel.png,440,440,RGBA,be8b10b26a44abd801d637a9e6d668e45877f3a0a030ec3973c7981d9e05257a,,PASS_WITH_POLISH,Other plant or harvest type,HOLD,,"Bay Laurel needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Bay Laurel needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,PASS_WITH_POLISH -> HOLD
Beach_Morning_Glory,Beach Morning Glory,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,Use a creeping coastal vine with funnel flowers; current floating white cluster is not recognizable.,False,Beach_Morning_Glory.png,440,440,RGBA,e16587b0f6c1ae6fd8ed2f891267804495aa28903dfac43f0ecf8c70bfc5a029,,FAIL,Other plant or harvest type,FAIL,,"Beach Morning Glory needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","Use a creeping coastal vine with funnel flowers; current floating white cluster is not recognizable. Beach Morning Glory needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,UNCHANGED
Beach_Pea,Beach Pea,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified.",False,Beach_Pea.png,440,440,RGBA,b56d54c48fc226b537087d65f54cdf98862c0cffa4b9c15a1a93e402cbbd0b89,,PASS_WITH_POLISH,Other plant or harvest type,HOLD,,"Beach Pea needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Beach Pea needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,PASS_WITH_POLISH -> HOLD
Beach_Plum,Beach Plum,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified.",False,Beach_Plum.png,440,440,RGBA,7fe959163b3bfc1dc586684e674fe59d5524c4743bb71c25641b1d3864ec6419,,PASS_WITH_POLISH,Other plant or harvest type,HOLD,,"Beach Plum needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Beach Plum needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,PASS_WITH_POLISH -> HOLD
Bearberry,Bearberry,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified.",False,Bearberry.png,440,440,RGBA,2116e422817026b5e03af9e282bec18df359f9e30b6dd731d990cf5d9506e62a,,PASS_WITH_POLISH,Other plant or harvest type,HOLD,,"Bearberry needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Bearberry needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,PASS_WITH_POLISH -> HOLD
Beet,Beet,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified.",False,Beet.png,440,440,RGBA,5ec9124d49f61765f0894de8877772eae317229bad781b1b7cd2dd5ee92b6315,,PASS_WITH_POLISH,Root vegetables,HOLD,,"Show the source plant and the correct underground storage organ, leaf top and harvest relationship rather than an isolated generic bulb.","No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Show the source plant and the correct underground storage organ, leaf top and harvest relationship rather than an isolated generic bulb.",FAIL,PASS_WITH_POLISH -> HOLD
Belladonna,Belladonna,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified.",False,Belladonna.png,440,440,RGBA,afd12b852986be3c606547cc137c4aae0e5cabdc78e4a413f9abb186d30a1f7f,,PASS_WITH_POLISH,Other plant or harvest type,HOLD,,"Belladonna needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Belladonna needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,PASS_WITH_POLISH -> HOLD
Bergamot,Bergamot,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified.",False,Bergamot.png,440,440,RGBA,171a43967a727c0ca9fae87a0a5bf3f7996e85369e7e7cf76a9d7f39685be6ff,,PASS_WITH_POLISH,Other plant or harvest type,HOLD,,"Bergamot needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.","No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Bergamot needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",FAIL,PASS_WITH_POLISH -> HOLD
