asset_id,display_name,binary_result,review_band,fruiting_body_family,cap_body,stem_attachment_substrate,surface_spores_texture,assessment_and_required_fix,changed_since_previous_pass,filename,width,height,mode,sha256,exact_duplicate_with,prior_review_band,strict_status,strict_assessment,binary_gate,status_change_from_prior
Enoki,Enoki,PASS,PASS,PASS,PASS,PASS,PASS,Long thin stems and tiny clustered caps are recognizable.,True,Enoki.png,440,440,RGBA,71f98bddff033b20f40551ce29cd9725e5d5f62d5ee4b19de1bf8dcccb45b2b3,,PASS,PASS,PASS — Leave alone. The major real-world morphology is represented at the current stylized scale.,PASS,UNCHANGED
Fly_Agaric,Fly Agaric,PASS,PASS,PASS,PASS,PASS,PASS,Red caps with white warts and pale stems are recognizable.,True,Fly_Agaric.png,440,440,RGBA,f6b79d2afd93981d1a42335fe5d397feaefd6dd7dbb82ff033f35724ba42a106,,PASS,PASS,PASS — Leave alone. The major real-world morphology is represented at the current stylized scale.,PASS,UNCHANGED
Giant_Puffball,Giant Puffball,PASS,PASS,PASS,PASS,PASS,PASS,Round puffball bodies are correct.,False,Giant_Puffball.png,440,440,RGBA,57984858f876e2d29e6bb399e749a4a1fd80f6700504858675b71c400022aec5,,PASS,PASS,PASS — Leave alone. The major real-world morphology is represented at the current stylized scale.,PASS,UNCHANGED
Jelly_Fungus,Jelly Fungus,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,Current cap-and-stem mushrooms do not represent gelatinous lobes or ears.,False,Jelly_Fungus.png,440,440,RGBA,9d6e6acb119b00d64eb6414b60d95f779f4c086883469b12b5780aa5dde79765,,FAIL,FAIL,Current cap-and-stem mushrooms do not represent gelatinous lobes or ears.,FAIL,UNCHANGED
Lion\udcd4\udcc7\udcd6s_Mane,Lion\udcd4\udcc7\udcd6s Mane,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,Filename encoding is malformed and the body needs clearer hanging tooth-like spines rather than rounded bulbs.,False,Lion\udcd4\udcc7\udcd6s_Mane.png,440,440,RGBA,4e0243f996a69ab5b1be7f62b1106dc9f6b9364453073693531f795d5c077592,,FAIL,FAIL,Filename encoding is malformed and the body needs clearer hanging tooth-like spines rather than rounded bulbs.,FAIL,UNCHANGED
Maitake,Maitake,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,Overlapping rosette fronds are present; increase leaf-like fan layering.,True,Maitake.png,440,440,RGBA,90816922a0a85eb55b091b54143b601593ee1fee24c24f5c6601819272212e19,,PASS_WITH_POLISH,HOLD,Overlapping rosette fronds are present; increase leaf-like fan layering.,FAIL,PASS_WITH_POLISH -> HOLD
Mildew,Mildew,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,Powdery colony concept is present; make it a thin surface patch rather than a mound.,True,Mildew.png,440,440,RGBA,2075ad0009ca5e1a6104c5498d097a68b3e605b9a82b14b05aadf7d22a0ba6ec,,PASS_WITH_POLISH,HOLD,Powdery colony concept is present; make it a thin surface patch rather than a mound.,FAIL,PASS_WITH_POLISH -> HOLD
Mold,Mold,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,Fuzzy colony concept is present; show spreading hyphae and surface growth rather than a mound.,True,Mold.png,440,440,RGBA,ff29d3e820f13766cbc56bbadf77176bbd8746b019aa377d6bb6629d8d6b67e9,,PASS_WITH_POLISH,HOLD,Fuzzy colony concept is present; show spreading hyphae and surface growth rather than a mound.,FAIL,PASS_WITH_POLISH -> HOLD
Morel,Morel,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,Current cone lacks the defining deep honeycomb pits and irregular morel cap.,False,Morel.png,440,440,RGBA,e68360e5aa09d75ad165f25a3e756d1ae80f99638f6e14dc0a72bc27b794318b,,FAIL,FAIL,Current cone lacks the defining deep honeycomb pits and irregular morel cap.,FAIL,UNCHANGED
Oyster_Mushroom,Oyster Mushroom,PASS,PASS,PASS,PASS,PASS,PASS,Layered lateral fan caps attached to wood are correct.,False,Oyster_Mushroom.png,440,440,RGBA,5524b11980735eac416673d40a5aff4573cf9ed32e6032bdb2ec6e637cf80456,,PASS,PASS,PASS — Leave alone. The major real-world morphology is represented at the current stylized scale.,PASS,UNCHANGED
Porcini,Porcini,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,Thick bolete form is present; use a broader brown cap and stout pale stem.,False,Porcini.png,440,440,RGBA,33ee130caa923c14920b292fd978415187ceaf1c9461548083fa2105313f9f86,,PASS_WITH_POLISH,HOLD,Thick bolete form is present; use a broader brown cap and stout pale stem.,FAIL,PASS_WITH_POLISH -> HOLD
Reindeer_Lichen,Reindeer Lichen,FAIL,BLOCKER,FAIL,FAIL,FAIL,FAIL,"Visual branching lichen form is good, but canonical ownership duplicates the flora library.",True,Reindeer_Lichen.png,440,440,RGBA,215a932e0f3ed38325bd21bdb2598feb6fe0c433543dfd4b115f6244f24b2c4d,,BLOCKER,BLOCKER,"Visual branching lichen form is good, but canonical ownership duplicates the flora library.",FAIL,UNCHANGED
Shelf_Fungus,Shelf Fungus,PASS,PASS,PASS,PASS,PASS,PASS,Lateral shelf growth on wood is correct.,False,Shelf_Fungus.png,440,440,RGBA,0b6a8a30f590a4923ed585701e6289ca6bded5cfd82f5dca661fa8e4a47a4fc7,,PASS,PASS,PASS — Leave alone. The major real-world morphology is represented at the current stylized scale.,PASS,UNCHANGED
Shiitake,Shiitake,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,Current bright red generic mushrooms do not match brown rounded shiitake caps and pale stems.,False,Shiitake.png,440,440,RGBA,e2c3d97f563debe253df9ea64fe72d495537e88a779d36e8b99046b832ed0711,,FAIL,FAIL,Current bright red generic mushrooms do not match brown rounded shiitake caps and pale stems.,FAIL,UNCHANGED
Stinkhorn,Stinkhorn,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,Tall stalk and dark cap are present; add a more irregular slimy gleba and volva.,True,Stinkhorn.png,440,440,RGBA,381cf4e9d0d264a981e03033cdd9386031da867ea1fd6315991308f225e9e198,,PASS_WITH_POLISH,HOLD,Tall stalk and dark cap are present; add a more irregular slimy gleba and volva.,FAIL,PASS_WITH_POLISH -> HOLD
Turkey_Tail,Turkey Tail,PASS,PASS_WITH_POLISH,PASS,POLISH,POLISH,POLISH,Layered shelves are correct; add multicolored concentric banding and fan texture.,False,Turkey_Tail.png,440,440,RGBA,fbc43c055e46c4dfa2a9002e2158d9fdcd6ac22b8d63bf90d6411ee32d8dd887,,PASS_WITH_POLISH,HOLD,Layered shelves are correct; add multicolored concentric banding and fan texture.,FAIL,PASS_WITH_POLISH -> HOLD
Yeast,Yeast,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,Current mound is not budding unicellular yeast; show clusters of round/oval budding cells.,True,Yeast.png,440,440,RGBA,826c43c8737979c56a93bd958e8c082d019b80dfa701b1fe88e541ead8d2cf1e,,FAIL,FAIL,Current mound is not budding unicellular yeast; show clusters of round/oval budding cells.,FAIL,UNCHANGED
