category,asset_id,display_name,binary_result,review_band,body_plan,torso,head,eyes,legs_wings_appendages,rear_tail_flukes,signature_traits,global_body_template_risk,near_identical_silhouette_neighbors,assessment_and_required_fix,changed_since_previous_pass,filename,width,height,mode,sha256,exact_duplicate_with,prior_review_band,expected_body_family,strict_status,manual_recheck_note,template_family_note,strict_assessment,binary_gate,status_change_from_prior,overall_growth_form,roots_or_attachment,stem_trunk,leaves_fronds,flower_fruit_spore_harvest,scale_and_silhouette,expected_growth_family,fruiting_body_family,cap_body,stem_attachment_substrate,surface_spores_texture,cell_or_body_morphology,membrane_shell_wall,locomotion_structures,internal_structures,colony_or_scale_read,procedural_kind,body_or_growth_plan,head_sensory_region,limbs_wings_roots_appendages,rear_tail_or_terminal_region,material_skin_surface,trait_blend_coherence
fauna,Alpine_Salamander,Alpine Salamander,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current body shows too few functional limbs and paddle-like lobes. Use four short salamander limbs, elongated torso, and tapering tail.",False,Alpine_Salamander.png,440,440,RGBA,de7c54054dd24fc10d99a46214a8ac373cb2442f1f1da445c8138e9a7c08d5fe,,FAIL,Salamanders,FAIL,,"Verify body width, head/mouth, eye placement, fore/hind limb proportions, toes, tail state and skin texture; color alone should not define the species.","Current body shows too few functional limbs and paddle-like lobes. Use four short salamander limbs, elongated torso, and tapering tail. Verify body width, head/mouth, eye placement, fore/hind limb proportions, toes, tail state and skin texture; color alone should not define the species.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Bactrian_Camel,Bactrian Camel,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Two humps are present, but the body is deer-like. Add a long camel head/neck, high chest, padded feet, and integrated humps.",True,Bactrian_Camel.png,440,440,RGBA,0a3ace8887a53ae19721584c21c625ac9df16adccf3c9e1a845fb49e5d95e902,,FAIL,Camels,FAIL,,"Current forms read as deer with humps. Build a camelid neck/chest, padded two-toed feet, long camelid head, integrated hump anatomy, and species-correct coat/tail.","Two humps are present, but the body is deer-like. Add a long camel head/neck, high chest, padded feet, and integrated humps. Current forms read as deer with humps. Build a camelid neck/chest, padded two-toed feet, long camelid head, integrated hump anatomy, and species-correct coat/tail.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Beaked_Whale,Beaked Whale,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,LOW,,Add a clear beak/rostrum and a more elongated whale body.,True,Beaked_Whale.png,440,440,RGBA,fa0ec1dc3ec32ac9cea8fbe2b48571e7895a8d1c1eda49752cf6e947f7a1a2bc,,FAIL,Marine mammals,FAIL,,"Strengthen real marine-mammal proportions: streamlined body, species-correct rostrum/head, dorsal fin placement, pectoral flippers, peduncle and horizontal flukes.","Add a clear beak/rostrum and a more elongated whale body. Strengthen real marine-mammal proportions: streamlined body, species-correct rostrum/head, dorsal fin placement, pectoral flippers, peduncle and horizontal flukes.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Bear,Bear,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current long-legged/pig-like scaffold lacks ursid shoulder mass, plantigrade paws, bear muzzle, and rounded rear.",True,Bear.png,440,440,RGBA,aa3c46e57adb04da492bc206d4c27adbb15cc409795c67c4aaa447e068fc477a,,FAIL,Bears,FAIL,,"Replace the pig/ungulate scaffold with a heavy plantigrade bear body: broad shoulders, thick torso, short tail, large paws, and ursid skull.","Current long-legged/pig-like scaffold lacks ursid shoulder mass, plantigrade paws, bear muzzle, and rounded rear. Replace the pig/ungulate scaffold with a heavy plantigrade bear body: broad shoulders, thick torso, short tail, large paws, and ursid skull.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Bee,Bee,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current bead-like insect lacks two wing pairs, thorax/abdomen separation, six legs, and bee body hair.",False,Bee.png,440,440,RGBA,0b0399d907a007fd9da89f0b4d7845346b107f201f6e4b3ded7cec12961f5bdc,,FAIL,Insects,FAIL,,"Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.","Current bead-like insect lacks two wing pairs, thorax/abdomen separation, six legs, and bee body hair. Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Black_Bear,Black Bear,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current pig-like scaffold lacks ursid shoulders, paws, bear head, and readable dark-face contrast.",True,Black_Bear.png,440,440,RGBA,4bcef068d4e0a92ef15633ba6669943a12aecccab552539a04b8c11b0cd4a543,,FAIL,Bears,FAIL,,"Replace the pig/ungulate scaffold with a heavy plantigrade bear body: broad shoulders, thick torso, short tail, large paws, and ursid skull.","Current pig-like scaffold lacks ursid shoulders, paws, bear head, and readable dark-face contrast. Replace the pig/ungulate scaffold with a heavy plantigrade bear body: broad shoulders, thick torso, short tail, large paws, and ursid skull.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Black_Fly,Black Fly,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,HIGH,Aphid | Cicada | Cold-Adapted_Insect | Orchid_Bee | Termite | Thrips,"Current bead-like body lacks readable wings, thorax/abdomen separation, six legs, and fly head/eyes.",False,Black_Fly.png,440,440,RGBA,edf5151f6b49eca10e2e1e69a93e6882ed66c4779352d92a259ed35f6bef4ee3,,FAIL,Mosquitoes and midges,FAIL,,"Broad family routing may be usable, but Black Fly still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.","Current bead-like body lacks readable wings, thorax/abdomen separation, six legs, and fly head/eyes. Broad family routing may be usable, but Black Fly still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Blobfish,Blobfish,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,LOW,,The stylized decompressed blobfish form is recognizable; maintain as an intentional presentation choice.,True,Blobfish.png,440,440,RGBA,2a1b157075d7c53c5b59589f9fe8a34661b0f3d09bb157a128711659e22b1c35,,PASS,Strange deep-sea fish,FAIL,Current red oval fish does not preserve the blobfish’s distinctive soft head/face and deep-bodied proportions. Rebuild the head and body rather than relying on color.,"The portrait relies on a generic torpedo fish. Correct body depth, head/mouth position, dorsal/anal/pectoral fin shape, caudal fin, markings and any diagnostic appendage.",Current red oval fish does not preserve the blobfish’s distinctive soft head/face and deep-bodied proportions. Rebuild the head and body rather than relying on color.,FAIL,PASS -> FAIL,,,,,,,,,,,,,,,,,,,,,,,
fauna,Bobcat,Bobcat,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current ungulate-like body lacks feline shoulders, paws, skull, ear tufts, and short bobbed tail.",True,Bobcat.png,440,440,RGBA,3f48a1af929b7a9f5c9fbe9a5c074bd73ed512163b108a63a0e1348d919c9808,,FAIL,Big cats,FAIL,,"The catalog repeatedly uses an ungulate-like torso and straight hoof-like legs for felids. Use a feline ribcage/shoulder line, digitigrade legs with paws, feline skull and muzzle, flexible spine, and species-correct tail.","Current ungulate-like body lacks feline shoulders, paws, skull, ear tufts, and short bobbed tail. The catalog repeatedly uses an ungulate-like torso and straight hoof-like legs for felids. Use a feline ribcage/shoulder line, digitigrade legs with paws, feline skull and muzzle, flexible spine, and species-correct tail.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Brown_Bear,Brown Bear,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current long-bodied ungulate/pig scaffold lacks bear shoulders, paws, muzzle, and stocky rear.",True,Brown_Bear.png,440,440,RGBA,0cfd0e3ff50b83f590ed9175af300d7d5e50f05e540ed0632df15c948e08877d,,FAIL,Bears,FAIL,,"Replace the pig/ungulate scaffold with a heavy plantigrade bear body: broad shoulders, thick torso, short tail, large paws, and ursid skull.","Current long-bodied ungulate/pig scaffold lacks bear shoulders, paws, muzzle, and stocky rear. Replace the pig/ungulate scaffold with a heavy plantigrade bear body: broad shoulders, thick torso, short tail, large paws, and ursid skull.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Bull,Bull,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current rabbit-eared ungulate scaffold lacks bovine skull, horn bases, muscular neck/chest, cloven hooves, and heavy rear.",True,Bull.png,440,440,RGBA,1a0bea2ee8820686d4ba4f255c92fa68dfbd14952472d4f1b57f447876f1b861,,FAIL,Cattle and bovids,FAIL,,"The ungulate base is usable, but the named species must have correct horn/antler geometry, neck, shoulder/croup mass, leg length, hooves, head and tail.","Current rabbit-eared ungulate scaffold lacks bovine skull, horn bases, muscular neck/chest, cloven hooves, and heavy rear. The ungulate base is usable, but the named species must have correct horn/antler geometry, neck, shoulder/croup mass, leg length, hooves, head and tail.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Bumblebee,Bumblebee,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current bead-like insect lacks wings, fuzzy thorax/abdomen, six legs, and bee proportions.",False,Bumblebee.png,440,440,RGBA,c2a54c03668df104b2a01b5754dbdf37f78d06c9eb9b66076f9ce13ceaf13a1c,,FAIL,Bees,FAIL,,"Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.","Current bead-like insect lacks wings, fuzzy thorax/abdomen, six legs, and bee proportions. Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Butterflyfish,Butterflyfish,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,LOW,,Use a deeper laterally compressed reef-fish body and stronger butterflyfish fin/pattern identity.,True,Butterflyfish.png,440,440,RGBA,d1b78f1b6445b05cd1c90ebf3c2c3e945d1beed1eb3686bcb3530e617a6f5f46,,FAIL,Reef fish,FAIL,,"The portrait relies on a generic torpedo fish. Correct body depth, head/mouth position, dorsal/anal/pectoral fin shape, caudal fin, markings and any diagnostic appendage.","Use a deeper laterally compressed reef-fish body and stronger butterflyfish fin/pattern identity. The portrait relies on a generic torpedo fish. Correct body depth, head/mouth position, dorsal/anal/pectoral fin shape, caudal fin, markings and any diagnostic appendage.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Caiman,Caiman,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current arrow-like body lacks a broad armored torso, four legs, blunt head, and muscular tail.",False,Caiman.png,440,440,RGBA,ed108521c830cbdb987d5404ddde1aa4a4d4f1906e053452d543f926dd0cabd0,,FAIL,Crocodilians,FAIL,,"Current narrow arrow-like body is not crocodilian. Use a broad low torso, splayed robust limbs, species-correct skull, armored back and thick muscular tail.","Current arrow-like body lacks a broad armored torso, four legs, blunt head, and muscular tail. Current narrow arrow-like body is not crocodilian. Use a broad low torso, splayed robust limbs, species-correct skull, armored back and thick muscular tail.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Camel,Camel,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Hump is present, but the body is deer-like. Add camel skull, long curved neck, padded feet, and high-chested stance.",True,Camel.png,440,440,RGBA,1afa7ded82a4bacfb5ed4fd3ba0d1d39ed3756b1b2f9294a464ab4280db2bc85,,FAIL,Camels,FAIL,,"Current forms read as deer with humps. Build a camelid neck/chest, padded two-toed feet, long camelid head, integrated hump anatomy, and species-correct coat/tail.","Hump is present, but the body is deer-like. Add camel skull, long curved neck, padded feet, and high-chested stance. Current forms read as deer with humps. Build a camelid neck/chest, padded two-toed feet, long camelid head, integrated hump anatomy, and species-correct coat/tail.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Caracal,Caracal,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current deer/rabbit-like body lacks a feline torso, paws, short coat, long black ear tufts, and cat tail.",True,Caracal.png,440,440,RGBA,66f6d9e1351f7bad443aa03f540510eff4f567e0ade4394b28dd6ea060db7ede,,FAIL,Big cats,FAIL,,"The catalog repeatedly uses an ungulate-like torso and straight hoof-like legs for felids. Use a feline ribcage/shoulder line, digitigrade legs with paws, feline skull and muzzle, flexible spine, and species-correct tail.","Current deer/rabbit-like body lacks a feline torso, paws, short coat, long black ear tufts, and cat tail. The catalog repeatedly uses an ungulate-like torso and straight hoof-like legs for felids. Use a feline ribcage/shoulder line, digitigrade legs with paws, feline skull and muzzle, flexible spine, and species-correct tail.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Cassowary,Cassowary,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current small generic bird lacks a heavy flightless torso, casque, powerful legs, tiny wings, and reduced tail.",False,Cassowary.png,440,440,RGBA,f3091108f6b11d098483a175b5fd7025423b697958a35c8aef2d8b4e48847db8,,FAIL,Flightless birds,FAIL,,"Use the species-specific flightless body: correct torso mass, neck length, vestigial wings/flippers, leg proportions, feet, tail and head ornaments.","Current small generic bird lacks a heavy flightless torso, casque, powerful legs, tiny wings, and reduced tail. Use the species-specific flightless body: correct torso mass, neck length, vestigial wings/flippers, leg proportions, feet, tail and head ornaments.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Cat,Cat,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current long-legged ungulate-like body lacks feline spine, shoulder/chest, paws, skull, and tail articulation.",True,Cat.png,440,440,RGBA,f07a2ec3b4b407e9af487fb641c28253f339edb29a6246eeb393ebc27b3aed0e,,FAIL,Cats,FAIL,,"The catalog repeatedly uses an ungulate-like torso and straight hoof-like legs for felids. Use a feline ribcage/shoulder line, digitigrade legs with paws, feline skull and muzzle, flexible spine, and species-correct tail.","Current long-legged ungulate-like body lacks feline spine, shoulder/chest, paws, skull, and tail articulation. The catalog repeatedly uses an ungulate-like torso and straight hoof-like legs for felids. Use a feline ribcage/shoulder line, digitigrade legs with paws, feline skull and muzzle, flexible spine, and species-correct tail.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Cattle,Cattle,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current rabbit-eared generic ungulate does not read as cattle. Use a bovine head, broad torso, cloven hooves, dewlap, and correct tail.",True,Cattle.png,440,440,RGBA,5da405ab7458590f86d50a192381b2e659d5194980d0b36a5e1919914fa30ef6,,FAIL,Other or uncertain,FAIL,,"Broad family routing may be usable, but Cattle still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.","Current rabbit-eared generic ungulate does not read as cattle. Use a bovine head, broad torso, cloven hooves, dewlap, and correct tail. Broad family routing may be usable, but Cattle still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
fauna,Cave_Cricket,Cave Cricket,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current larva-like chain lacks six long legs, enlarged jumping hind legs, antennae, and cricket thorax/abdomen.",False,Cave_Cricket.png,440,440,RGBA,9ae922b9fb669fe74192806f8ca71aa6b700eb6214cba488660e4dbd1d4eb908,,FAIL,Ice and cave insects,FAIL,,"Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.","Current larva-like chain lacks six long legs, enlarged jumping hind legs, antennae, and cricket thorax/abdomen. Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",FAIL,UNCHANGED,,,,,,,,,,,,,,,,,,,,,,,
