asset_id,display_name,current_status,binary_result,previous_strict_status,changed_from_previous_submission,fruiting_body_family,cap_body,stem_attachment_substrate,surface_spores_texture,current_assessment_and_required_fix,filename,width,height,mode,sha256,previous_sha256
Enoki,Enoki,PASS,PASS,PASS,True,PASS,PASS,PASS,PASS,The dense cluster of long thin white stems and tiny caps is clear.,Enoki.png,440,440,RGBA,06b52cc7668d26d01b5e3b1763670d045e124f687bcca9a30a08d36c8e750d03,71f98bddff033b20f40551ce29cd9725e5d5f62d5ee4b19de1bf8dcccb45b2b3
Fly_Agaric,Fly Agaric,PASS,PASS,PASS,False,PASS,PASS,PASS,PASS,Red caps with white spots and pale stems are unmistakable.,Fly_Agaric.png,440,440,RGBA,f6b79d2afd93981d1a42335fe5d397feaefd6dd7dbb82ff033f35724ba42a106,f6b79d2afd93981d1a42335fe5d397feaefd6dd7dbb82ff033f35724ba42a106
Giant_Puffball,Giant Puffball,PASS,PASS,PASS,True,PASS,PASS,PASS,PASS,The large round white fruiting bodies read correctly.,Giant_Puffball.png,440,440,RGBA,410229f45a565d0b4fb0c633b41fd8ee571489eda4281a159dc83de090d45a48,57984858f876e2d29e6bb399e749a4a1fd80f6700504858675b71c400022aec5
Jelly_Fungus,Jelly Fungus,PASS,PASS,FAIL,True,PASS,PASS,PASS,PASS,The irregular gelatinous orange lobe is recognizable.,Jelly_Fungus.png,440,440,RGBA,26d51f2820a7bef7d3baf7cfc819b5eae58c90b856579efd51e5ef0e0a5d16e4,9d6e6acb119b00d64eb6414b60d95f779f4c086883469b12b5780aa5dde79765
Lion’s_Mane,Lion’s Mane,HOLD,FAIL,,False,POLISH,POLISH,POLISH,POLISH,,Lion’s_Mane.png,440,440,RGBA,4e0243f996a69ab5b1be7f62b1106dc9f6b9364453073693531f795d5c077592,4e0243f996a69ab5b1be7f62b1106dc9f6b9364453073693531f795d5c077592
Maitake,Maitake,PASS,PASS,HOLD,False,PASS,PASS,PASS,PASS,The layered brown rosette of many overlapping fronds is recognizable.,Maitake.png,440,440,RGBA,90816922a0a85eb55b091b54143b601593ee1fee24c24f5c6601819272212e19,90816922a0a85eb55b091b54143b601593ee1fee24c24f5c6601819272212e19
Mildew,Mildew,HOLD,FAIL,HOLD,False,PASS,POLISH,POLISH,POLISH,"The spreading surface patch reads, but make it flatter/fuzzier and more clearly attached to a leaf or substrate.",Mildew.png,440,440,RGBA,2075ad0009ca5e1a6104c5498d097a68b3e605b9a82b14b05aadf7d22a0ba6ec,2075ad0009ca5e1a6104c5498d097a68b3e605b9a82b14b05aadf7d22a0ba6ec
Mold,Mold,HOLD,FAIL,HOLD,True,PASS,POLISH,POLISH,POLISH,The fuzzy colony concept reads; add clearer filament/hypha texture and substrate context.,Mold.png,440,440,RGBA,aa2fcede79a7a79143da63c1064930e61cd4ee62b5b47fb38ca34a6c68723c3e,ff29d3e820f13766cbc56bbadf77176bbd8746b019aa377d6bb6629d8d6b67e9
Morel,Morel,PASS,PASS,FAIL,True,PASS,PASS,PASS,PASS,The tall pitted honeycomb cap and pale stem are recognizable.,Morel.png,440,440,RGBA,cef48b19a0a3038212d7c798840ca2c220b5a16ed81b525fcdff9682196a8888,e68360e5aa09d75ad165f25a3e756d1ae80f99638f6e14dc0a72bc27b794318b
Oyster_Mushroom,Oyster Mushroom,PASS,PASS,PASS,False,PASS,PASS,PASS,PASS,The overlapping lateral fan-shaped shelves attached to wood read correctly.,Oyster_Mushroom.png,440,440,RGBA,5524b11980735eac416673d40a5aff4573cf9ed32e6032bdb2ec6e637cf80456,5524b11980735eac416673d40a5aff4573cf9ed32e6032bdb2ec6e637cf80456
Porcini,Porcini,PASS,PASS,HOLD,True,PASS,PASS,PASS,PASS,The stout bolete body with thick stem and rounded brown cap is recognizable.,Porcini.png,440,440,RGBA,e4f38b53a0d3d3f93d30421a9ed29d1eff3eaac87ec7674619622f9a23df56c4,33ee130caa923c14920b292fd978415187ceaf1c9461548083fa2105313f9f86
Reindeer_Lichen,Reindeer Lichen,PASS,PASS,BLOCKER,False,PASS,PASS,PASS,PASS,The pale branching cushion/mat now reads correctly and canonical ownership is confined to fungi.,Reindeer_Lichen.png,440,440,RGBA,215a932e0f3ed38325bd21bdb2598feb6fe0c433543dfd4b115f6244f24b2c4d,215a932e0f3ed38325bd21bdb2598feb6fe0c433543dfd4b115f6244f24b2c4d
Shelf_Fungus,Shelf Fungus,PASS,PASS,PASS,False,PASS,PASS,PASS,PASS,The repeated lateral shelves on wood are clear.,Shelf_Fungus.png,440,440,RGBA,0b6a8a30f590a4923ed585701e6289ca6bded5cfd82f5dca661fa8e4a47a4fc7,0b6a8a30f590a4923ed585701e6289ca6bded5cfd82f5dca661fa8e4a47a4fc7
Shiitake,Shiitake,PASS,PASS,FAIL,True,PASS,PASS,PASS,PASS,The brown cap-and-stem mushrooms are acceptable; optional polish is a broader darker cap and textured surface.,Shiitake.png,440,440,RGBA,2f8e60a17757557a8bc58f8c8d0eee1e2365186f2e40e44f26fb44878afdc047,e2c3d97f563debe253df9ea64fe72d495537e88a779d36e8b99046b832ed0711
Stinkhorn,Stinkhorn,PASS,PASS,HOLD,False,PASS,PASS,PASS,PASS,The tall pale stalks and dark slimy caps are recognizable.,Stinkhorn.png,440,440,RGBA,381cf4e9d0d264a981e03033cdd9386031da867ea1fd6315991308f225e9e198,381cf4e9d0d264a981e03033cdd9386031da867ea1fd6315991308f225e9e198
Turkey_Tail,Turkey Tail,PASS,PASS,HOLD,True,PASS,PASS,PASS,PASS,The layered fan shelves attached to wood are recognizable.,Turkey_Tail.png,440,440,RGBA,0af5396adeb0f8a81c98cbff5a29231d42523459323c77417227255b15dcbb12,fbc43c055e46c4dfa2a9002e2158d9fdcd6ac22b8d63bf90d6411ee32d8dd887
Yeast,Yeast,FAIL,FAIL,FAIL,False,FAIL,FAIL,FAIL,FAIL,The current sparkling mound does not show yeast cells. Use a microscopic cluster of oval budding cells with visible daughter buds rather than a fuzzy colony heap.,Yeast.png,440,440,RGBA,826c43c8737979c56a93bd958e8c082d019b80dfa701b1fe88e541ead8d2cf1e,826c43c8737979c56a93bd958e8c082d019b80dfa701b1fe88e541ead8d2cf1e
