asset_id,display_name,current_status,binary_result,previous_strict_status,changed_from_previous_submission,expected_body_family,global_body_template_risk,near_identical_silhouette_neighbors,body_plan,torso,head,eyes,legs_wings_appendages,rear_tail_flukes,signature_traits,current_assessment_and_required_fix,filename,width,height,mode,sha256,previous_sha256
Amphipod,Amphipod,HOLD,FAIL,HOLD,True,Ice and cave insects,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",Amphipod.png,440,440,RGBA,858c1603aa6e8ecc8a4f1d2c7c554fa0764b70950c08b74d6d8638ab66e923fe,33051489e2e5b207191da5ccec388cb77ebe9ff514229451d88346f7f3b93bf1
Anaconda,Anaconda,HOLD,FAIL,HOLD,True,Constricting snakes,HIGH,Whip_Snake,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Verify skull/head profile, limb state, body thickness, scale texture, tail and any crest/frill/horn; do not rely on color alone.",Anaconda.png,440,440,RGBA,0690989b62ce2a69a4475f9328496510f82919039323e30bad593ad95f48a92c,99942b6487b7ea119cca972973a9a494c26e9f67591208afab51027bf87eddb2
Anchovy,Anchovy,HOLD,FAIL,HOLD,True,Schooling ocean fish,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. The portrait relies on a generic torpedo fish. Correct body depth, head/mouth position, dorsal/anal/pectoral fin shape, caudal fin, markings and any diagnostic appendage.",Anchovy.png,440,440,RGBA,9dda72e4f2dd977329980d61b24cc9e5c4a6085ecef9f1151412e8ae56a91980,693926de234c91d8bc76f75cfccbfbe5dfaa00c1ef20273e5e52eee28e661284
Angelfish,Angelfish,PASS,PASS,HOLD,True,Reef fish,MEDIUM,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,"The deep laterally compressed body, tall dorsal/anal fins and trailing rays now clearly read as an angelfish.",Angelfish.png,440,440,RGBA,ff5e5b9da2fa4a183f3144f73166802fdaa44c3e428634af2c34a831a37b9ad5,ef2db5927387819acb45fecf8eecb0aa5c0b807e48d19f1bc8ce87aec5a98ca3
Anglerfish,Anglerfish,HOLD,FAIL,HOLD,True,Strange deep-sea fish,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. The portrait relies on a generic torpedo fish. Correct body depth, head/mouth position, dorsal/anal/pectoral fin shape, caudal fin, markings and any diagnostic appendage.",Anglerfish.png,440,440,RGBA,282b4fcf4bcada4b56039803522b5091097a6869c16d7c6341cad2b89c60d4d7,95c2521c4a45eefd92951001b8cda5fe33684c2c67ad479f537c42fb29dabc40
Anole,Anole,HOLD,FAIL,HOLD,True,Medium and small lizards,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Verify skull/head profile, limb state, body thickness, scale texture, tail and any crest/frill/horn; do not rely on color alone.",Anole.png,440,440,RGBA,301590958857d7670546c4e2e29958edc3faa381d05c9c523fc27a313942f1fd,ff83e5b73ad97206cd4c7cf7f95686c00560dce4c1a963b1437564d34c8093bd
Ant,Ant,HOLD,FAIL,HOLD,True,Insects,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",Ant.png,440,440,RGBA,7e2a3e8183016194859bd68903558458dc4d165cc1ebf6a432ca3edaf5c6b42e,89e84b2f81c0d4df6950810490d946be2137d9d693f6f932ffba8819b8deb0d8
Antelope,Antelope,HOLD,FAIL,HOLD,True,Cattle and bovids,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. The ungulate base is usable, but the named species must have correct horn/antler geometry, neck, shoulder/croup mass, leg length, hooves, head and tail.",Antelope.png,440,440,RGBA,5675cba2f8f7a0a3a6e5a78f6cae99c2d1ffb48677012a55d6a0ab701437d9eb,d9e08092f77d78578522347bd2012f6f93e317b23cb0c417f34c73893a6c5e3d
Aphid,Aphid,HOLD,FAIL,HOLD,True,True bugs,HIGH,Black_Fly | Cicada | Cold-Adapted_Insect | Orchid_Bee | Termite | Thrips,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",Aphid.png,440,440,RGBA,126638030493421a65926eaeccdbd35314745dd8d71bf448f10e7b57e085b7aa,c96a679532a4f60348ae884826f2fa54ce5d5b2d513ad01edc44f12b0ba37b16
Arapaima,Arapaima,HOLD,FAIL,HOLD,True,Predatory tropical freshwater fish,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. The portrait relies on a generic torpedo fish. Correct body depth, head/mouth position, dorsal/anal/pectoral fin shape, caudal fin, markings and any diagnostic appendage.",Arapaima.png,440,440,RGBA,09a4930c3c51b7a4c5111f1b247b4ab55aa6c0a5fc0d1e7eaeb5d9c221fcea0b,a1210baf8bfe220b52bb9864915a3840655a5944bf170c004bdce84a59890c0a
Archerfish,Archerfish,HOLD,FAIL,HOLD,True,Other or uncertain,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Broad family routing may be usable, but Archerfish still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",Archerfish.png,440,440,RGBA,b62911fba7c21463fefff6bd20268474d68e0c7c2bec0be9e6a0803805e23ae9,cc5ab17598bc066c6be10b7c4b9a631b22f8643760f1d12c446062dde506c2b4
Arctic_Cod,Arctic Cod,HOLD,FAIL,HOLD,True,Fish,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. The portrait relies on a generic torpedo fish. Correct body depth, head/mouth position, dorsal/anal/pectoral fin shape, caudal fin, markings and any diagnostic appendage.",Arctic_Cod.png,440,440,RGBA,1a8c45890b1a776890e2df8fb803d06552016679a3faf5348d252f4def478166,7bd5df60eb3969d88ec5333a95f38b412996526e1f172c5cc32b5ec01cb302c2
Arctic_Fox,Arctic Fox,FAIL,FAIL,HOLD,True,Dogs and dog-like mammals,MEDIUM,,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,"The white coat identifies the label, but the body remains a deer-like quadruped rather than a compact canid. Use a deep canine chest, digitigrade paws, short muzzle/ears adapted to cold and a full brush tail.",Arctic_Fox.png,440,440,RGBA,0154b793bd6ef35c0ef1a4505c3a37472824e77593fa6a2d4e2845933925adb0,b8b7dd3640c2759a43def16b91ab103d1e2f95a7a073b1df0d1cd605c7ae32a6
Arctic_Hare,Arctic Hare,HOLD,FAIL,HOLD,True,Lagomorphs,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Verify rodent/lagomorph skull, incisors/muzzle, fore/hind foot proportions, body posture and tail; several currently inherit the rabbit-like template.",Arctic_Hare.png,440,440,RGBA,2ad4ae3d443257f474eff60b32f8df6b6afbaa21141f8da16f015e6bf5a027ec,1a7456bb0c55e966b6222f7f812374a57a4515b2c1ae2ffddbc8392cc4c69c70
Armadillo,Armadillo,PASS,PASS,PASS,True,Armadillos and relatives,LOW,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,Armadillo.png,440,440,RGBA,33cd5b904f7b6cce4b9ffd88b7fd7024ace137cb67d8ce54ffbd5d0fe43c3b70,82cb6c346f40c005ac0dfe20c7df8d85a1c48bc77b571f81f11bbad5126b2c23
Arowana,Arowana,HOLD,FAIL,HOLD,True,Predatory tropical freshwater fish,MEDIUM,,PASS,POLISH,POLISH,PASS,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","Add upturned mouth, long dorsal/anal fins, and larger metallic scales. The portrait relies on a generic torpedo fish. Correct body depth, head/mouth position, dorsal/anal/pectoral fin shape, caudal fin, markings and any diagnostic appendage.",Arowana.png,440,440,RGBA,64350675db3ab6ad1f607b70373f81fcf40f88b6f4f86a49d8b811e5e6d8494d,f180eeb2a1908d1cc292a2c5862fe7fbbcf5a4c6abf26dd62263257f55b22655
Asian_Elephant,Asian Elephant,HOLD,FAIL,HOLD,True,Elephants and relatives,MEDIUM,,PASS,POLISH,POLISH,PASS,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","Differentiate from African Elephant: smaller rounded ears, domed head, arched back. Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",Asian_Elephant.png,440,440,RGBA,f13d7bd7a83f0d9e3e870dc2a51a4629fbe0af710f1d53e0117abd4e0512f8b6,e31136c00d19f54a7d1e572a3f44c128dba89b178106e23e50412292e652b6ae
Auk,Auk,HOLD,FAIL,HOLD,True,Seabirds,MEDIUM,,PASS,POLISH,POLISH,PASS,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","Strengthen compact diving-bird body and short wings. The named bird relies too heavily on the shared side-bird template. Correct the bill, neck, body depth, wing length, leg type, tail and crest/display structures for the species.",Auk.png,440,440,RGBA,525f33b41fd86f198eee5d70570018f33ae614c0c49a1e73061f753cb12678bf,61eb6d6153c56326d8999f125b2c00e88d1e8aeaed402f78af3767233f83aa54
Avocet,Avocet,FAIL,FAIL,HOLD,True,Shorebirds,MEDIUM,,PASS,POLISH,POLISH,PASS,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","The current white wader has a straight yellow bill. Add the avocet’s very long upcurved black bill, black-and-white head/wing pattern, longer blue-gray legs, and more slender shorebird torso.",Avocet.png,440,440,RGBA,89e43c9fd6ad9223b3693e2066691468ee30891ab22a325961e9186a9fbcea42,c14e4bbbdf1b8ae62e93ef3d42fcc7dcd0ab67d88718b57be8b2de635733b06a
Axolotl,Axolotl,HOLD,FAIL,HOLD,True,Permanently aquatic amphibians,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Broad family routing may be usable, but Axolotl still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",Axolotl.png,440,440,RGBA,9d72d1f988d41a33cf9c3fbfc5c784b4aacbec93c5e0215baba8038de3671b6f,29351b9849fcf0c13cdb3f09e613f7f4b577c6876f863a042165cba112391ba2
Aye-Aye,Aye Aye,HOLD,FAIL,HOLD,True,Other or uncertain,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","The primate category reads, but the defining long middle finger, very large ears, bushy tail, elongated incisors/muzzle and skeletal hand proportions are not visible enough.",Aye-Aye.png,440,440,RGBA,85537f1a35ff7f19057a855bca3907c8d0524d9c7030108339a82b0b36edb73a,036247ebaf082c4fad80f1b954529e0761e18a3a576263be352aeec52365b76f
Baboon,Baboon,HOLD,FAIL,HOLD,True,Primates,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Verify torso posture, arm/leg ratio, hands/feet, face shape and tail state for the named primate.",Baboon.png,440,440,RGBA,1d668554d07264dd0058dda27ce45694bf14c12a9738ee8fad673f0a214f7980,b80ae4c06f89b888bd04ca489a4e4f70d9e675b35a46d27e6aee43e56f70ef66
Bactrian_Camel,Bactrian Camel,FAIL,FAIL,FAIL,True,Camels,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"Two humps are present, but they sit on a deer/horse scaffold. Rebuild with a long curved camelid neck and head, deep chest, padded two-toed feet, integrated humps, and a shorter tufted tail.",Bactrian_Camel.png,440,440,RGBA,0c126dc2cb110bd870402ab976bfb06c22bba84ab0806030f51c30ef5cb31ff5,0a3ace8887a53ae19721584c21c625ac9df16adccf3c9e1a845fb49e5d95e902
Badger,Badger,HOLD,FAIL,HOLD,True,Weasels and relatives,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Use the correct low flexible carnivoran torso, pawed limbs, skull/muzzle, and species-specific tail instead of one shared long-body template.",Badger.png,440,440,RGBA,77a1a2e1b0d0cf32972152ac34704b183b12523086e8dcd993dc60573b195b78,55626180dc49fb32bbb19e2e6512d31e7a351a5823f1c4ac7e1288f8fbeb37d2
Banana_Slug,Banana Slug,HOLD,FAIL,HOLD,True,Gastropods,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Broad family routing may be usable, but Banana Slug still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",Banana_Slug.png,440,440,RGBA,ecf9eee5be3e1c464455c6b9a0fb13f72796036d40c6afc68276141e987479b5,11015061ff2d0f67aee5b8817bb631e7240ac43f14036e03daeb5dfae226aad8
Banteng,Banteng,HOLD,FAIL,HOLD,True,Cattle and bovids,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. The ungulate base is usable, but the named species must have correct horn/antler geometry, neck, shoulder/croup mass, leg length, hooves, head and tail.",Banteng.png,440,440,RGBA,23f6cd6e138d9b07598cae5319864177dd55c0d882acbde544866a5fdf1ab953,170553f18ea7caa9af59778b3b00016bc43435c94f14c609d80bc72fc146344f
Barnacle,Barnacle,HOLD,FAIL,HOLD,True,Ice and cave insects,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",Barnacle.png,440,440,RGBA,e1fd95ec6681b69aed64d31ab2b6388cdd2ffd8cb766cd4e61a170e56803724c,1c02e404fab3d0260c3eb2f2e0841a597b2c51e80de4d514472e073e67c3a8d2
Barracuda,Barracuda,HOLD,FAIL,HOLD,True,Ocean predators,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. The portrait relies on a generic torpedo fish. Correct body depth, head/mouth position, dorsal/anal/pectoral fin shape, caudal fin, markings and any diagnostic appendage.",Barracuda.png,440,440,RGBA,c400ce79493e3d2e94fccad7f84edc64918f114be634c0a63c90aa65c3f2875f,05419e3e14588f477f3d968f5113029a4a0761f2e9a938cd94057b2d8296b033
Barreleye,Barreleye,PASS,PASS,PASS,True,Strange deep-sea fish,LOW,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,Barreleye.png,440,440,RGBA,9c035ebe58dc9a6757b8095d3838e54669fff02615e3cd76309c61ccab625e1e,200370d1d11c33076d9a7c3bb77262a990d7dc8de25d73b56c3ce11fadc756f5
Basking_Shark,Basking Shark,PASS,PASS,PASS,True,Sharks,LOW,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS — Leave alone at the current stylized resolution. Major body regions and defining silhouette are sufficiently represented.,Basking_Shark.png,440,440,RGBA,1134ed987036ea1a9d784895a221d14d7156f9ace27e35ac357bfcf716cd2761,a20a353b277ae280b760fdac912144dc451515ae80debee9bc7709db0d5eb550
Bass,Bass,HOLD,FAIL,HOLD,True,Perch-like freshwater fish,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. The portrait relies on a generic torpedo fish. Correct body depth, head/mouth position, dorsal/anal/pectoral fin shape, caudal fin, markings and any diagnostic appendage.",Bass.png,440,440,RGBA,08fe633d81fe725f3609c5e19042c36f7a64db65d6f9ea98f040c03172026789,0664058e7a97f87a0d81e9bd7de8665fc1f58b126be2259122f7c89abbe7356b
Bat,Bat,HOLD,FAIL,HOLD,True,Flying mammals,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Broad family routing may be usable, but Bat still needs an unlabeled silhouette check for body plan, head, eyes/sensory structures, appendages and rear/terminal anatomy.",Bat.png,440,440,RGBA,dfb1bcdf43e57e4079fccca25135d25f5fa2177385314660e23dd15649a7a95c,d9434bbf47da957c99f9e19ce24192b951abc314da719ed67a66b3f36f864993
Beaked_Whale,Beaked Whale,HOLD,FAIL,FAIL,False,Marine mammals,LOW,,POLISH,POLISH,POLISH,PASS,POLISH,POLISH,POLISH,"The long marine body and small beak are present, but the silhouette remains shark-like. Reduce the dorsal profile, clarify tail flukes and pectoral flippers, and shape the forehead/beak transition as a beaked whale.",Beaked_Whale.png,440,440,RGBA,fa0ec1dc3ec32ac9cea8fbe2b48571e7895a8d1c1eda49752cf6e947f7a1a2bc,fa0ec1dc3ec32ac9cea8fbe2b48571e7895a8d1c1eda49752cf6e947f7a1a2bc
Bear,Bear,FAIL,FAIL,FAIL,False,Bears,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The current body is a boxy pig/ungulate with stiff legs. Use a heavy plantigrade bear torso, broad shoulders, large paws, short tail, thick neck and ursid skull.",Bear.png,440,440,RGBA,aa3c46e57adb04da492bc206d4c27adbb15cc409795c67c4aaa447e068fc477a,aa3c46e57adb04da492bc206d4c27adbb15cc409795c67c4aaa447e068fc477a
Beaver,Beaver,HOLD,FAIL,HOLD,True,Rodents,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","No critical routing, clipping, eye, or life-stage issue found in the full-size visual pass. Recognizable within the established stylized family language. Verify rodent/lagomorph skull, incisors/muzzle, fore/hind foot proportions, body posture and tail; several currently inherit the rabbit-like template.",Beaver.png,440,440,RGBA,66d310dbbd810208997adf5668df358bf4b614090e81df1290bc9234a65a8761,4c12c14c738051ebd657edf6709498fabc465468013b5ea99e71467171fd15ac
Bee,Bee,FAIL,FAIL,FAIL,True,Insects,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"Current bead-like insect lacks two wing pairs, thorax/abdomen separation, six legs, and bee body hair. Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",Bee.png,440,440,RGBA,6bc3b2e57b37b13330f9da35daef19c6853ccd5504318d8dd352d62a74cd4670,0b0399d907a007fd9da89f0b4d7845346b107f201f6e4b3ded7cec12961f5bdc
