asset_id,display_name,current_status,binary_result,previous_strict_status,changed_from_previous_submission,expected_growth_family,overall_growth_form,roots_or_attachment,stem_trunk,leaves_fronds,flower_fruit_spore_harvest,scale_and_silhouette,current_assessment_and_required_fix,filename,width,height,mode,sha256,previous_sha256
Amaranth,Amaranth,HOLD,FAIL,HOLD,True,7. Grain and Staple Crops,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Correct the culm, leaf arrangement and species-specific seed head/inflorescence; many grains currently share one generic spike or grass tuft.",Amaranth.png,440,440,RGBA,eee0e9a9429b6d965ad77c59e75f729800d51bffe40642439b4a1705ddbab64e,935ee681ba36be2bc134f41dd84ecafed53fdc7ea4d160adef1c9af29b0dd068
Angel's_Trumpet,Angel's Trumpet,FAIL,FAIL,FAIL,True,Other plant or harvest type,FAIL,PASS,FAIL,PASS,FAIL,FAIL,Use a woody shrub or small tree with several very large pendulous trumpet flowers. The current tiny star-like blossoms do not earn the name.,Angel's_Trumpet.png,440,440,RGBA,ee4ec16cde1a00d4f739b47ed198b30cfbbdffe9fb232ae3d4dfc8d1739144e2,88db67b9b90510be34cbffa31441b67d8d3bc5ba905c034e5d6f91f71a9a331f
Angelica,Angelica,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Add compound umbels and broader herb structure. Angelica needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Angelica.png,440,440,RGBA,aa808eff58cca8abdd41b84fa01a9f5fe15dcde303bb6b44c9cfd5afa1054f01,199f70412e4a5993f8b558e473e91ce493c54c2e60910b58fee718aec36a7ced
Anise,Anise,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Anise needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Anise.png,440,440,RGBA,b6c20f7016c8164408604d6259cd6bb0a50c2ab646fd2b89fa184a4d0b776cc5,8701b9bd8201ebc31bd6c14b7a41432d5c05624b88e97013fcdc875ef3088840
Apple,Apple,HOLD,FAIL,HOLD,True,4. Fruit and Nut Trees,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. The catalog overuses a round canopy on a straight trunk. Match the species’ trunk habit, branching architecture, crown shape, leaf masses, bark and fruit/flower attachment.",Apple.png,440,440,RGBA,2fa59b8d8fad0318f4fd6829a0c99753aee64422a5d63ef8d01c94cd38b102f8,da952fc48cadd601553084c719e7f2336bd8de2a20619c0ffb208eadd6f6ba6e
Apricot,Apricot,HOLD,FAIL,HOLD,True,4. Fruit and Nut Trees,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. The catalog overuses a round canopy on a straight trunk. Match the species’ trunk habit, branching architecture, crown shape, leaf masses, bark and fruit/flower attachment.",Apricot.png,440,440,RGBA,aaa9663d06cb092a73530f5044a75bf36d08d08503d4d760948fd8257b4e8786,59bbf0392d25752d7591ff2655d1c1fb5311a0cd6a123d7693dd150cec3d93e4
Arctic_Blueberry,Arctic Blueberry,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Arctic Blueberry needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Arctic_Blueberry.png,440,440,RGBA,abc5f3b60a0929b452ef99c58c9fda46735849ce6c7634401489de0018650567,1706e880e6a537d53ca22de7b609149d8a669fe06402a0ac3b8c9ad36c3306f5
Arctic_Sorrel,Arctic Sorrel,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Arctic Sorrel needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Arctic_Sorrel.png,440,440,RGBA,7a97bd9c4b68c9f11cabe2ff4c1ce39cd40a7c68ec873e5708b58e564997f32a,47b54c56b2c65d236336220ed445c57fe877bba36d32e8bffb12c7520318780c
Arctic_Willow,Arctic Willow,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Arctic Willow needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Arctic_Willow.png,440,440,RGBA,6cf586237573b6b697d8289cf1d217fd004b057411a237263b377c75816ef1a1,91116f325f29a5a3e08ce43cda80b272b69503aa1fc85f2413b68f081a5f1f75
Arnica,Arnica,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Arnica needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Arnica.png,440,440,RGBA,c8cacfb196dde0565988fe5711bea0c2fb70874b6f1bb963c9df8857fcd3a393,83a7cdc7580fb4d8cfa77922e0ce1c5194e2f5a604bd4980675bf07526f9958c
Arrowhead,Arrowhead,FAIL,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,The current rounded paired leaves are incorrect. Use several arrow/sagittate leaves on upright aquatic petioles with a simple flower stalk.,Arrowhead.png,440,440,RGBA,37298b1a89bb3989997b46a364153558e08df133b67984f0158332bac2eb1211,76f44563147eab12a1ac5690a9cbe4a883954d0a748b55eb49942c058fb5aba2
Arrowroot,Arrowroot,HOLD,FAIL,HOLD,True,7. Grain and Staple Crops,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Current rosette lacks the broad tropical leaves and rhizome/source relationship. Correct the culm, leaf arrangement and species-specific seed head/inflorescence; many grains currently share one generic spike or grass tuft.",Arrowroot.png,440,440,RGBA,bf807b0362d5ae588169470f039bf3767b59797a2a2048e7e16f5b46745ab699,9178e5a23d708fd4c16097e08c583fdff8c0d34b3fb0cc3630e2d8351a61dcef
Avocado,Avocado,HOLD,FAIL,HOLD,True,4. Fruit and Nut Trees,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. The catalog overuses a round canopy on a straight trunk. Match the species’ trunk habit, branching architecture, crown shape, leaf masses, bark and fruit/flower attachment.",Avocado.png,440,440,RGBA,919738f09939051284aa00e8519b26b6909b12af51a2162f7c46b6f4a4ce1c6e,f270e3770a6880f14d2fdbcb64af18e1c9e4cf9dc2297bc86a007a944ae866ef
Bamboo_Shoots,Bamboo Shoots,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Clarify as a harvest item with conical shoots rather than a generic grass tuft. Bamboo Shoots needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Bamboo_Shoots.png,440,440,RGBA,49d973e884eeafa22a08da06888676245b8a83aced4a4f29084ef795e26c6e9d,8ffa0a02c809e78557e57f9ca83f7c6d13a28373930e934e59e461132f7f92c9
Banana,Banana,HOLD,FAIL,FAIL,True,Other plant or harvest type,PASS,PASS,PASS,PASS,PASS,PASS,"The broad fan leaves help, but the plant still reads as a palm/tree. Use a thick pseudostem made of leaf sheaths, huge torn banana leaves and a hanging curved fruit bunch below the crown.",Banana.png,440,440,RGBA,1501b8f1476c752b52d4e0eac41a3d691b296f36709b575efe4d8c586dbd4334,f1cc363578bcdf7fde9cac0e70f1f7977905827d4499fb501fed7f2022ae1541
Baobab,Baobab,FAIL,FAIL,PASS,True,Tropical trees,PASS,PASS,PASS,PASS,PASS,PASS,"The round canopy is generic and the trunk is too thin. Give the tree an enormous swollen bottle-like trunk, sparse heavy limbs and a comparatively small crown.",Baobab.png,440,440,RGBA,5a42eb4c6901e3a16b8a733b0d4f0a5ddc22f98e80c3dc41543ba8fd9a001b8a,b24bf6bb45db3381d5b21b148ebf11abf31450900b275a7a684476b8362753b5
Barley,Barley,HOLD,FAIL,HOLD,True,7. Grain and Staple Crops,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Add a distinct long-awned grain head. Correct the culm, leaf arrangement and species-specific seed head/inflorescence; many grains currently share one generic spike or grass tuft.",Barley.png,440,440,RGBA,a51a77f028b0367ae4a7dc65dec2e12faba2c303228f756ed99e53ada5c9b1b3,7f98d882b1a082c0b4396dfbda13043ebc90664f3cad9d5b8e2bf3caa302af3c
Barrel_Cactus_Fruit,Barrel Cactus Fruit,FAIL,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"The source body is a tall column cactus, not a barrel cactus. Use a round ribbed barrel with strong spines and a crown of fruit/flowers.",Barrel_Cactus_Fruit.png,440,440,RGBA,7a0ef0d4274c1c5e570ccca830eee8f498523c55e15d40fbe41d3f09f9ba0084,b92326a7111e16418ba318e989e0dcb7998f7a63f5d80fe3b955a1632d60b931
Bay_Laurel,Bay Laurel,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Bay Laurel needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Bay_Laurel.png,440,440,RGBA,484f2953237b8cc47ff7021043b3bde75f9cfe4589bd5d7769215d671aa7d4ad,be8b10b26a44abd801d637a9e6d668e45877f3a0a030ec3973c7981d9e05257a
Beach_Morning_Glory,Beach Morning Glory,PASS,PASS,FAIL,True,Other plant or harvest type,PASS,PASS,PASS,PASS,PASS,PASS,"The creeping vine, rounded leaves and purple flowers are recognizable.",Beach_Morning_Glory.png,440,440,RGBA,2b86e65bf5ea26de801fe03d3c814306cf39a375f9efd3e5cd0c449eaa1b1071,e16587b0f6c1ae6fd8ed2f891267804495aa28903dfac43f0ecf8c70bfc5a029
Beach_Pea,Beach Pea,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Beach Pea needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Beach_Pea.png,440,440,RGBA,252517ec35a5825b2b8198577014694283646625dbbffd730dfee730b7ca2700,b56d54c48fc226b537087d65f54cdf98862c0cffa4b9c15a1a93e402cbbd0b89
Beach_Plum,Beach Plum,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Beach Plum needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Beach_Plum.png,440,440,RGBA,b30a41540bc93d8ca167a9a9181d46c0419b0ce25f349451dd2cb23e134c0955,7fe959163b3bfc1dc586684e674fe59d5524c4743bb71c25641b1d3864ec6419
Bearberry,Bearberry,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Bearberry needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Bearberry.png,440,440,RGBA,c38008b438aaf9efcd93fd383f1960a6f60bbe14d5ab50bfe7f7cc3adcc358af,2116e422817026b5e03af9e282bec18df359f9e30b6dd731d990cf5d9506e62a
Beet,Beet,HOLD,FAIL,HOLD,True,Root vegetables,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Show the source plant and the correct underground storage organ, leaf top and harvest relationship rather than an isolated generic bulb.",Beet.png,440,440,RGBA,83e65bc7f920d5bbc99d8a1f2279efa550dde1deb3982ddc39c7b7d39652eb90,5ec9124d49f61765f0894de8877772eae317229bad781b1b7cd2dd5ee92b6315
Belladonna,Belladonna,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"The upright herb is plausible, but add branching stems, dull purple bell flowers and glossy black berries; the current leaf ladder depends on the label.",Belladonna.png,440,440,RGBA,adc331c3ccb8041abcc884281bf8bdde053352ab7375366e4e0e42b22e67bc2d,afd12b852986be3c606547cc137c4aae0e5cabdc78e4a413f9abb186d30a1f7f
Bergamot,Bergamot,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Bergamot needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Bergamot.png,440,440,RGBA,f4baa3e38ec626bfa6f6aab428b0e5e276842a1b371fe9cdf2689f817b874118,171a43967a727c0ca9fae87a0a5bf3f7996e85369e7e7cf76a9d7f39685be6ff
Bilberry,Bilberry,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Bilberry needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Bilberry.png,440,440,RGBA,5987cffd428d9d00731e68bfaac43630c69cde989e6952b83697b9bc2df1e7a6,7370e7524ff68e23ef9df8a3312fad8977e727869273b6dc52a529e817300d40
Birch_Sap,Birch Sap,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,The current image is a generic leafy tree. Show a pale birch trunk with dark bark marks and a tap/drip or separate sap harvest organ.,Birch_Sap.png,440,440,RGBA,ac9e5a80584bb6ccd21dd7eba7ca752f6bb111a77a8f851903ff3ed36f5cd3c4,e81e9026da950e55368f31427013df66a71d941511de76f0918de4ffffdab2b0
Bitterroot,Bitterroot,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Bitterroot needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Bitterroot.png,440,440,RGBA,74b7f490eade8ad5d0282dc1bf4882b054eaf384f19af2f068c75a216133a36e,b43d695e80dfb45ba28278b47cb4fcdc5091d6238418b16a52fe4816077b3c4c
Black-Eyed_Susan,Black Eyed Susan,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Black Eyed Susan needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Black-Eyed_Susan.png,440,440,RGBA,1dab776415ddadf4fa90e85989ac816cdf010f887beefed6a5e8d003cf6c77bf,72f622de28dc0e6235cd7fd28dfefaa3d916c78ad9fb0ebb067369f8330f7af6
Black_Grape,Black Grape,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Black Grape needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Black_Grape.png,440,440,RGBA,64f543bc1738b472e42127391ff45da3fb775c610189f32ebe5b5f93dab07668,2779711d94b5960401f50819e1b990c36b9b08e1300fb1ef721adda5284b2a36
Black_Pepper,Black Pepper,HOLD,FAIL,FAIL,True,9. Herbs and Spices,POLISH,POLISH,PASS,PASS,POLISH,POLISH,"The vine habit is present, but add dense hanging spikes of peppercorns and a support/trunk so the crop is recognizable.",Black_Pepper.png,440,440,RGBA,7e1d0c8bcdc3a33b56ac0fbc0f0becf2acfb47b6d7fdaf9625e1d2eb65dceae7,bdf4330d54121d227f13dce9dd53015402855e979af850eb2f24b8e0049926cf
Blackberry,Blackberry,HOLD,FAIL,HOLD,True,5. Shrubs and Bushes,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Blackberry needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Blackberry.png,440,440,RGBA,3eeca7a5818a1707c02e20f4290bdcbf36b073e40fe38b16b2a2ab01c514d81e,9bd5a5eb5f108656b8d86b8bdffc4bd3062d28825fe35466542bf2aac0f0455d
Bladderwrack,Bladderwrack,PASS,PASS,FAIL,True,Other plant or harvest type,PASS,PASS,PASS,PASS,PASS,PASS,The strap-like brown fronds and visible air bladders are recognizable.,Bladderwrack.png,440,440,RGBA,47f779dc31c47f19ae45648e5a371236e32aa999ce7f87c45e72aa0a3455c649,76a4dadba14275f247039a00f842946b714e92415bc02895804ffc81cbd1c237
Blueberry,Blueberry,HOLD,FAIL,HOLD,True,5. Shrubs and Bushes,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Blueberry needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Blueberry.png,440,440,RGBA,35f97841bbe91968d16ae58d4c3aff6b2fa56e89837c7015d02e60d573a3dd04,30d2953eab743c8db0b24eba7ed94a34d345bfee04b489ea10735aa618a5de6f
Bog_Myrtle,Bog Myrtle,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Bog Myrtle needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Bog_Myrtle.png,440,440,RGBA,be811b2fa52e9f977db83eedb078816cc0057a3f3aa6f82d9b47dd60d64b67e4,914ce82bc35d813af7251283c7dcc107558ef731e3548ce6fb0f9e87a778783e
Bog_Rosemary,Bog Rosemary,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Bog Rosemary needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Bog_Rosemary.png,440,440,RGBA,29355466c798f47889828ae2ea3adf868a6bc286f8b69d796f8655f54d3f208b,a571b9e499ce785c478915eab2a65a0782d81374d147e4e80fb8862cbf61423a
Brazil_Nut,Brazil Nut,HOLD,FAIL,HOLD,True,4. Fruit and Nut Trees,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. The catalog overuses a round canopy on a straight trunk. Match the species’ trunk habit, branching architecture, crown shape, leaf masses, bark and fruit/flower attachment.",Brazil_Nut.png,440,440,RGBA,d65f6ff54447340ce8f09dbfab14696593f2a1aca95320de7fd43984f7492ec5,df36f61406d7eec27eb5e964b948f0f12384cfb517e094f2cbc576fe7a88c865
Breadfruit,Breadfruit,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Breadfruit needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Breadfruit.png,440,440,RGBA,4c19b6e4ce9bc21c0b63d4c2a5a736d41f244063f7b73ed3bcb12ea835420364,1cc6fea25be144f1288b829c70dad5fdf7291f6cac65af183c6f709bbb622850
Breadnut,Breadnut,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Breadnut needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Breadnut.png,440,440,RGBA,ddd3cba1bdc04e6ac297d89036910ea21b61a93c5a30439a15fe9284942420f1,3aa161073ed9301e2af41074fbe70f2ea20b64c77df80f28c63047c0ca7343b6
Bromeliad,Bromeliad,PASS,PASS,HOLD,True,10. Flowering Herbs and Wildflowers,PASS,PASS,PASS,PASS,PASS,PASS,The basal rosette and central flower spike read correctly.,Bromeliad.png,440,440,RGBA,1387fdd43316abf3ee356c44ec149b8b73731c962e8a84403f26fb6e497ecbc2,cab93746f4d53002229677cce3ea250192c32016905cedc743800ffda2fad352
Brooklime,Brooklime,HOLD,FAIL,HOLD,True,Other plant or harvest type,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"No critical duplicate, clipping, or gross growth-family error found. Broad growth form is usable; species-level botanical specificity may still be simplified. Brooklime needs a species-specific growth-form check: roots/attachment, stem or trunk, leaf/frond arrangement, flower/fruit/spore organ and overall scale.",Brooklime.png,440,440,RGBA,a927d6ad8d65fa48432866a67ba6b20f10216bcacc9b5c4fab5eed3b22d690a5,eefdf732a9d202806b532e5efe7659777f959575142b392d652df9cd407cf82e
