asset_id,display_name,current_status,binary_result,previous_strict_status,changed_from_previous_submission,cell_or_body_morphology,membrane_shell_wall,locomotion_structures,internal_structures,colony_or_scale_read,current_assessment_and_required_fix,filename,width,height,mode,sha256,previous_sha256
Iron-Oxidizing_Bacteria,Iron Oxidizing Bacteria,HOLD,FAIL,HOLD,True,PASS,POLISH,POLISH,POLISH,POLISH,Colony is readable but generic; add filament/stalk or mineral-associated growth.,Iron-Oxidizing_Bacteria.png,440,440,RGBA,12fa8354d1232cad2d3e37c75602512a26c2b26dc2af387cf5f2c306a22d25a6,d6e345b0eabd1af14e8ec2547349ccd5eddbd23ef8a6b820accbccf56f54c4e9
Methanogen,Methanogen,HOLD,FAIL,HOLD,True,PASS,POLISH,POLISH,POLISH,POLISH,The rods are plausible but generic; specify coccoid/rod/filament type and add archaeal colony or gas-associated cues.,Methanogen.png,440,440,RGBA,9cb45b20528868af234d25776bb1dab2e5658bfda69eaf63cee3683233db73a9,a3d4e181913cf8849c9555aa68b5f6ef841a88f127df81bc065fd562e465cd6a
Nitrogen-Fixing_Bacteria,Nitrogen Fixing Bacteria,HOLD,FAIL,HOLD,True,PASS,POLISH,POLISH,POLISH,POLISH,Colony is readable but generic; add rods/chains and optional root-nodule context.,Nitrogen-Fixing_Bacteria.png,440,440,RGBA,3458440a24fea1b48d12bc4cb691cda7f3e1ae52179a7cb2047f8338b4300a3d,b8987903186a804531ecb5b68d576b48e202e42cf4770658d1ea58a7104a93ce
Paramecium,Paramecium,PASS,PASS,PASS,True,PASS,PASS,PASS,PASS,PASS,"The slipper-shaped ciliate body, surface cilia and internal structures are recognizable.",Paramecium.png,440,440,RGBA,7304a4e56767398720450ff82b4e67b831c69626cc766ab743a66e4a6adaa6d0,be74acb3e3308be33c1e0a7819b3ca1f484e3e603ddc1ee082a05177b16974fd
Radiation-Resistant_Microbe,Radiation Resistant Microbe,HOLD,FAIL,HOLD,True,PASS,POLISH,POLISH,POLISH,POLISH,Colony is readable but generic; add tetrad/cluster morphology and stronger radiation-shielding cues.,Radiation-Resistant_Microbe.png,440,440,RGBA,1d1f07097d3d7f83e68b8ea48741072cadf19f869f2c29a377f4a1b214a02a1a,4cec0716a605fe9bc3acbc5d5b4202d07bd672262bf704b2e7edce549ce6f011
Radiolarian,Radiolarian,PASS,PASS,HOLD,False,PASS,PASS,PASS,PASS,PASS,The radial mineral shell and internal geometry are recognizable.,Radiolarian.png,440,440,RGBA,7e957b0a5e7025c495e093a10d0b5a9d223252685c4f308144d9bc4f698935cf,7e957b0a5e7025c495e093a10d0b5a9d223252685c4f308144d9bc4f698935cf
Red-Tide_Algae,Red Tide Algae,HOLD,FAIL,HOLD,True,PASS,POLISH,POLISH,POLISH,POLISH,Pigmented colony reads; add dinoflagellate or algal cell morphology rather than only colored spheres.,Red-Tide_Algae.png,440,440,RGBA,26c80c0ea16429d5d0d1aba7773b17d87af398da05171b0ee8e5ecf08c3cfaf9,5545d9153b4afc22b140e1488e4ca3538138deb6590c9c409610472e324ef604
Snow_Algae,Snow Algae,HOLD,FAIL,BLOCKER,False,POLISH,POLISH,POLISH,POLISH,POLISH,"The red cells on an icy/snowy field communicate the phenomenon, but this is an environmental colony view rather than a distinct cell morphology.",Snow_Algae.png,440,440,RGBA,89db76c871752a545b25109a700432b5531033389c3b006407621d971ba43e00,89db76c871752a545b25109a700432b5531033389c3b006407621d971ba43e00
Sulfur-Oxidizing_Bacteria,Sulfur Oxidizing Bacteria,HOLD,FAIL,HOLD,True,PASS,POLISH,POLISH,POLISH,POLISH,Colony is readable but generic; add filament/mat morphology and sulfur granules.,Sulfur-Oxidizing_Bacteria.png,440,440,RGBA,f42fa7d9c87db65da71fd2a7cd8a553de14dcedee651dca3eac59eb26b233ce1,cf4233b3e6a63c4e23016f7855737d97d463236b0511a5505c270d4415875af1
Thermophile,Thermophile,HOLD,FAIL,HOLD,True,PASS,POLISH,POLISH,POLISH,POLISH,"The rods are plausible, but define the base organism and add heat-adaptation or mat/colony cues instead of relying only on color.",Thermophile.png,440,440,RGBA,b33cc8109c75a6a8b3a95a6beb2ef0a20e6b43aad9dbefc9f6bc14896138ab56,cb6fb425d41f9e6262cc35b4c868b8989d937c848a3eb55734e2d3e1528057ca
