category,asset_id,display_name,current_status,binary_result,previous_strict_status,changed_from_previous_submission,expected_body_family,global_body_template_risk,near_identical_silhouette_neighbors,body_plan,torso,head,eyes,legs_wings_appendages,rear_tail_flukes,signature_traits,current_assessment_and_required_fix,filename,width,height,mode,sha256,previous_sha256,expected_growth_family,overall_growth_form,roots_or_attachment,stem_trunk,leaves_fronds,flower_fruit_spore_harvest,scale_and_silhouette,fruiting_body_family,cap_body,stem_attachment_substrate,surface_spores_texture,cell_or_body_morphology,membrane_shell_wall,locomotion_structures,internal_structures,colony_or_scale_read,procedural_kind,body_or_growth_plan,head_sensory_region,limbs_wings_roots_appendages,rear_tail_or_terminal_region,material_skin_surface,trait_blend_coherence
fauna,Bison,Bison,FAIL,FAIL,HOLD,True,Cattle and bovids,MEDIUM,,PASS,POLISH,POLISH,PASS,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","The animal reads more like a sheep or long-bodied bovine. Add a dominant shoulder hump, massive shaggy forequarters, low head, short hindquarters, curved horns and a compact tail.",Bison.png,440,440,RGBA,f03ffb5981c2057ee02c257e0cba51cafa83316fe46dd23f25e932c01ebc6a1c,b19a0c31416bfe70fad42dc3329e06e0cef2b9b583115f7ae48887bed8a9de3d,,,,,,,,,,,,,,,,,,,,,,,
fauna,Black_Bear,Black Bear,FAIL,FAIL,FAIL,True,Bears,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The dark coat is correct, but the body remains sheep/pig-like with hoofed-looking feet. Use a plantigrade bear scaffold with large paws, broad shoulders, short tail and a true bear head.",Black_Bear.png,440,440,RGBA,4676772a1a62e5a421a75a731d0b2add6fe8ae3d2fa0d200e7c49749cad42e97,4bcef068d4e0a92ef15633ba6669943a12aecccab552539a04b8c11b0cd4a543,,,,,,,,,,,,,,,,,,,,,,,
fauna,Black_Fly,Black Fly,FAIL,FAIL,FAIL,True,Mosquitoes and midges,HIGH,Aphid | Cicada | Cold-Adapted_Insect | Orchid_Bee | Termite | Thrips,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,"The image is a small black oval with wings but weak segmentation and legs. Show a compact fly head, thorax and abdomen, six articulated legs, short antennae and broad wings.",Black_Fly.png,440,440,RGBA,734e0f362f579a8ad0da254d9730ae14e03b75ba017c64d26d60d5a45a0b1b70,edf5151f6b49eca10e2e1e69a93e6882ed66c4779352d92a259ed35f6bef4ee3,,,,,,,,,,,,,,,,,,,,,,,
fauna,Blobfish,Blobfish,FAIL,FAIL,FAIL,True,Strange deep-sea fish,LOW,,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,"The current round red fish is still a normal oval fish. Use either the natural deep-water form with a large head and tapering body or the decompressed form, but preserve the broad drooping face and gelatinous silhouette.",Blobfish.png,440,440,RGBA,b9269e4da45c2bc51330457621f62342a61fea403089a81002a91900395c3f73,2a1b157075d7c53c5b59589f9fe8a34661b0f3d09bb157a128711659e22b1c35,,,,,,,,,,,,,,,,,,,,,,,
fauna,Bobcat,Bobcat,FAIL,FAIL,FAIL,True,Big cats,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"Spots and short tail are not enough; the animal still uses a hoofed ungulate body. Use a compact feline torso, digitigrade legs and paws, broad cheek ruff, short bobbed tail and tufted ears.",Bobcat.png,440,440,RGBA,e2ebcd0c85d1764af571e2816e65de942e933c84e8946b14e8168c24467cec56,3f48a1af929b7a9f5c9fbe9a5c074bd73ed512163b108a63a0e1348d919c9808,,,,,,,,,,,,,,,,,,,,,,,
fauna,Brown_Bear,Brown Bear,FAIL,FAIL,FAIL,True,Bears,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The current silhouette has a long low body and small canine head. Add heavy bear shoulders, plantigrade paws, short tail, thicker neck and rounded ursid skull.",Brown_Bear.png,440,440,RGBA,5f5c6e9b140beeba7c33ddd830df95f4673a116f1b5ad5782b981cf75666f452,0cfd0e3ff50b83f590ed9175af300d7d5e50f05e540ed0632df15c948e08877d,,,,,,,,,,,,,,,,,,,,,,,
fauna,Caddisfly,Caddisfly,FAIL,FAIL,HOLD,True,Insects,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.",The current form resembles a small wasp/bee. Use long threadlike antennae and two pairs of hairy wings held tent-like over a slender body; avoid the compact hymenopteran silhouette.,Caddisfly.png,440,440,RGBA,002856a5ae8e8417c93c3349fd1c96b6169312e87723c7155b76cd08fadfe211,10427de7dc121d072fff7da210c4a896e0b51ef33777ff936cb4f2d192e5ef62,,,,,,,,,,,,,,,,,,,,,,,
fauna,Caiman,Caiman,FAIL,FAIL,FAIL,True,Crocodilians,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The current image is still a narrow lizard. Use a broad low crocodilian torso, robust splayed legs, armored back, shorter broader snout than a gharial, and thick tail.",Caiman.png,440,440,RGBA,50283f3238489e79402c8197b16e34d7c2c9dbea188c50ba8f5be60f2c05dc48,ed108521c830cbdb987d5404ddde1aa4a4d4f1906e053452d543f926dd0cabd0,,,,,,,,,,,,,,,,,,,,,,,
fauna,Camel,Camel,FAIL,FAIL,FAIL,True,Camels,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The single hump is added to a generic deer body. Rebuild the full camelid anatomy: long neck/head, deep chest, integrated hump, padded feet and tufted tail.",Camel.png,440,440,RGBA,9747ad95eb5276cdf88c2bdeeb210f34c728da86f665d4205ceea4686bb44444,1afa7ded82a4bacfb5ed4fd3ba0d1d39ed3756b1b2f9294a464ab4280db2bc85,,,,,,,,,,,,,,,,,,,,,,,
fauna,Caracal,Caracal,FAIL,FAIL,FAIL,True,Big cats,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"Ear tufts are present, but the body is a hoofed ungulate. Use a long-legged but clearly feline torso, digitigrade paws, short coat, wedge-shaped cat head and short tail.",Caracal.png,440,440,RGBA,c5c260ca327df0244d2007e3e83a6a6a462fce95a3ff1346a97df69b6a1ccccb,66f6d9e1351f7bad443aa03f540510eff4f567e0ade4394b28dd6ea060db7ede,,,,,,,,,,,,,,,,,,,,,,,
fauna,Cat,Cat,FAIL,FAIL,FAIL,True,Cats,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The striped coat is placed on a zebra/deer body. Replace it with a true domestic-cat scaffold: flexible feline spine, lower shoulders, digitigrade legs and paws, cat skull/muzzle and correctly attached tail.",Cat.png,440,440,RGBA,d36967554e474e9d42b2257dab7a48d089d347f019c3533657dcef5f664e8da3,f07a2ec3b4b407e9af487fb641c28253f339edb29a6246eeb393ebc27b3aed0e,,,,,,,,,,,,,,,,,,,,,,,
fauna,Cave_Cricket,Cave Cricket,FAIL,FAIL,FAIL,True,Ice and cave insects,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The current image is a legless caterpillar-like chain. A cave/camel cricket needs six very long articulated legs, especially enlarged jumping hind legs, long antennae and a hunched wingless insect body.",Cave_Cricket.png,440,440,RGBA,00ccda0f27a1ffc2770aad0bc03ecb1e7b12e2f846f97701d0e3d34be330d65f,9ae922b9fb669fe74192806f8ca71aa6b700eb6214cba488660e4dbd1d4eb908,,,,,,,,,,,,,,,,,,,,,,,
fauna,Chamois,Chamois,FAIL,FAIL,FAIL,True,Sheep and goats,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"Current generic deer body lacks short hooked horns, compact mountain-goat torso, and sure-footed hoof/leg proportions. The ungulate base is usable, but the named species must have correct horn/antler geometry, neck, shoulder/croup mass, leg length, hooves, head and tail.",Chamois.png,440,440,RGBA,f51ff528e441787d56fab64accdcf43439e0f9d1206adc36abe96cff5a8ce9d3,b704a9aa95362e5e65f5ccd8ae3e9aaa9517280eb64710329febbd5f9fdd1aaa,,,,,,,,,,,,,,,,,,,,,,,
fauna,Cheetah,Cheetah,FAIL,FAIL,FAIL,True,Big cats,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"Spots are correct, but the animal still has hoofed legs and an ungulate torso. Use a deep-chested, narrow-waisted feline body, long digitigrade legs with paws, small rounded head, tear marks and long tail.",Cheetah.png,440,440,RGBA,1cbc8d4b5807e0e6eee04a4099cb22b38b97e5198e5ff7012093be5b43d6aa13,b79943773e443bf87ac8e1ca769d7496eb7f362541a1a0cdc730d4c93524007e,,,,,,,,,,,,,,,,,,,,,,,
fauna,Chicken,Chicken,FAIL,FAIL,FAIL,True,Gamebirds,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The current bird is a decorative generic side-bird. Use a compact chicken body, clear breast, short rounded wings, sturdy scaled legs/feet, comb and wattles, and a short raised tail.",Chicken.png,440,440,RGBA,0934fcce9ec4db2b5c06fbd265dafd035408683f90c416b356f01d1024040ca6,76d47a9e979eae30c5c3552a2775bbf7c6c2af80d5869ff00a99579cfc6642f8,,,,,,,,,,,,,,,,,,,,,,,
fauna,Civet,Civet,FAIL,FAIL,HOLD,True,Civets and mongooses,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","The spots and ringed tail are applied to an ungulate. Use a long low carnivoran body, short digitigrade legs and paws, pointed civet muzzle and properly attached ringed tail.",Civet.png,440,440,RGBA,9c16cd2d4a07de6dfa8cc22ddc10f74d0bdd1976e3b5854533c0e340f95ab7a5,5917b09cdb30b703a599b262774fe0b7ac93ff5151a33147821583410ab18b68,,,,,,,,,,,,,,,,,,,,,,,
fauna,Clouded_Leopard,Clouded Leopard,FAIL,FAIL,FAIL,True,Big cats,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The cloud markings read, but the body remains hoofed. Use a muscular arboreal cat body, large paws, short powerful legs, long heavy tail and large cloud-shaped blotches.",Clouded_Leopard.png,440,440,RGBA,4219df5707a71345e9a08021ee065ffa3f0edabdc29b7017f3e6e9f907b04869,0c2ac721661f70f91f623652e940ff1250dd4a28cae7274e1ef5a8cd52a041be,,,,,,,,,,,,,,,,,,,,,,,
fauna,Clownfish,Clownfish,FAIL,FAIL,HOLD,True,Reef fish,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.",The orange fish lacks the defining white vertical bars and black edging. Keep the reef-fish body but add the three bold bands and rounded anemonefish fin profile.,Clownfish.png,440,440,RGBA,77428d8df99fe960731e96cfd4c7fa8642079478b610a996bba254e14c231b79,86384c06ea36b3b08af2bf45f625db84391fa169d4a1ad33262afb78cd298e6d,,,,,,,,,,,,,,,,,,,,,,,
fauna,Coati,Coati,FAIL,FAIL,FAIL,True,Raccoon-like mammals,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The ringed tail is present, but the torso and legs remain hoofed. Use a long low procyonid body, clawed paws, long flexible snout and upright ringed tail.",Coati.png,440,440,RGBA,c827780e0092a8cedf2731f804e6f39822c5447c47bc642668ed6966429cbb35,67f0f58e413571bc8fee2286b054bf30f8b6d4a41bd4af342f360410f81ee596,,,,,,,,,,,,,,,,,,,,,,,
fauna,Cockroach,Cockroach,FAIL,FAIL,FAIL,True,Cockroaches,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"Current bead body lacks flattened oval torso, long antennae, six spiny legs, and folded wings. Use correct insect anatomy: distinct head/thorax/abdomen, six articulated legs, correct wing count and attachment, antennae, mouthparts and species-specific shell/body proportions.",Cockroach.png,440,440,RGBA,c85f8ced8b53b0ae665cff6de2685150c9a0e081b75a4cf762498f5c733c4808,68059aad3be7431268cd8c4e06902bba540801b5f24c414946059a9565aba9aa,,,,,,,,,,,,,,,,,,,,,,,
fauna,Colugo,Colugo,FAIL,FAIL,FAIL,True,Flying mammals,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The current image is a tiny spotted quadruped with no gliding membrane. Add the continuous patagium from neck to fingers, toes and tail, with a flattened arboreal body and clawed limbs.",Colugo.png,440,440,RGBA,ff32b2e790ba62215beef415a8c4b60540c46954a167b1d87031b8e183be9af8,c99e033ad9a8dca9c1aadce71490925f826ced211613bec7587be0b90f4d4f29,,,,,,,,,,,,,,,,,,,,,,,
fauna,Cougar,Cougar,FAIL,FAIL,FAIL,True,Big cats,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The animal is still a tan ungulate. Use a large plain-coated feline scaffold with powerful shoulders/hindquarters, paws, rounded cat head and long heavy tail.",Cougar.png,440,440,RGBA,cdd4f5b80872b1d0e89a776b1cdd49d9b748825002dd6469e22b9e34cdb87653,ca442564482aaba62bc5962e4b9523cade2b110435e6edf3078dde1c1c588f40,,,,,,,,,,,,,,,,,,,,,,,
fauna,Coyote,Coyote,FAIL,FAIL,FAIL,True,Dogs and dog-like mammals,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The current form is deer-like. Use a lean canid chest, narrow waist, digitigrade paws, long pointed muzzle, upright ears and bushy low-carried tail.",Coyote.png,440,440,RGBA,20c53812875d39fa4fd9093cabb5ad2d0034d616446c57e7f903bac1d5ebc95d,b8dffde3f488a46ca4f5f580cf17ddfa4636b53760445913437f19f20ebd7f44,,,,,,,,,,,,,,,,,,,,,,,
fauna,Crocodile,Crocodile,FAIL,FAIL,FAIL,True,Crocodilians,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The narrow arrow-like body and weak legs remain. Widen the torso, add a V-shaped robust skull, strong splayed limbs, dorsal armor and thick tapering tail.",Crocodile.png,440,440,RGBA,5cb34e227e875670ec0f565bd669b527c32e5265ea8622c482429afa388956ec,1979a0a1c72fcfed173643528a9e8d9f6fc6d151086141e31d28dc59513d03d1,,,,,,,,,,,,,,,,,,,,,,,
fauna,Cuttlefish,Cuttlefish,FAIL,FAIL,FAIL,False,Cephalopods,LOW,,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,"The image is still a jelly/bell form. Use a broad oval mantle, continuous lateral fin skirt, visible cephalopod head and eyes, eight short arms plus two longer feeding tentacles.",Cuttlefish.png,440,440,RGBA,b5494df91d21b5282c92ea2723e9c034d7296962e36c25819b7bdf1c5d77c62f,b5494df91d21b5282c92ea2723e9c034d7296962e36c25819b7bdf1c5d77c62f,,,,,,,,,,,,,,,,,,,,,,,
fauna,Damselfly,Damselfly,FAIL,FAIL,PASS,True,Dragonflies,LOW,,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,"The current blue segmented form does not show adult damselfly wings. Add two pairs of narrow wings, huge eyes, six thoracic legs and a very slender abdomen; resting wings should align together above the body.",Damselfly.png,440,440,RGBA,485c69a2cc2806af9c333aad5bb42f4cb20506d156348d0d5e9c7253adc5ccc8,0be788360714373fc7231ce96d985d5ad8f2ae05f4647ff3d949e441e1680644,,,,,,,,,,,,,,,,,,,,,,,
fauna,Dingo,Dingo,FAIL,FAIL,FAIL,True,Canids,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The body remains a hoofed deer-like quadruped. Use a lean domestic-dog/canid body, paws, pointed muzzle, upright ears and a full brush tail.",Dingo.png,440,440,RGBA,e4c766d50c1094bce4878e977ed7404a7e7ce6b6de1d210acb06057c599ba360,2737fbd26a099febdbe1656c0b0e89a849c35671e99d7069179fa894c60b111a,,,,,,,,,,,,,,,,,,,,,,,
fauna,Dog,Dog,FAIL,FAIL,FAIL,True,Canids,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The current animal still uses an equid/deer body with hoof-like feet. Replace it with a canine chest, shoulders, hocks, paws, muzzle and tail.",Dog.png,440,440,RGBA,7bfe8b3f6c20e6c27066ba5f034d2fac21cb00848c921d631d5d0eb58b06eee8,e1ea4d73595e24b3f8495d10d77710a93640c552c9a2ec3565ab989700a37ee4,,,,,,,,,,,,,,,,,,,,,,,
fauna,Donkey,Donkey,FAIL,FAIL,HOLD,True,Horses and relatives,MEDIUM,,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,"The large ears help, but the body is still the same deer-like global ungulate scaffold. Rebuild it on the corrected equid base with a deep barrel, withers, sloped shoulder, articulated equid joints and hooves, a short upright mane and a tufted tail.",Donkey.png,440,440,RGBA,a130ea313b41e572ac2f4b359adc49fdf25486312fca7da81e1625b652f97283,30ce4e018d9612e8b13ecd0e0b0ad3c811e0adadaa1ad8fc6403498dbd05af69,,,,,,,,,,,,,,,,,,,,,,,
fauna,Dromedary_Camel,Dromedary Camel,FAIL,FAIL,FAIL,True,Camelids,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"One hump is visible but the underlying body is still deer-like. Use a proper long-necked camelid body with padded feet, deep chest and integrated single hump.",Dromedary_Camel.png,440,440,RGBA,bdccabcbe9b0703a418428a5e1c30cff94bdf439d40350b44b90b12deee7a79a,8dc7e705707d8455e97d71d0f9a6e6b8435ca81ea8663a1d8c3a766847dceefb,,,,,,,,,,,,,,,,,,,,,,,
fauna,Eagle,Eagle,FAIL,FAIL,FAIL,True,Birds of prey,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The current eagle is a generic rounded bird. Add a strong hooked beak, brow, broad chest, large layered wings, powerful talons and shorter wedge/fan tail.",Eagle.png,440,440,RGBA,670102c61e831eff58c7f234505ba5cc2f2325e2b9af2bbef463d3d526d6c688,956998a9caa2deaa74176a9acc2b3ea97801d856b553a266d543625362d768e0,,,,,,,,,,,,,,,,,,,,,,,
fauna,Falcon,Falcon,FAIL,FAIL,HOLD,True,Birds of prey,MEDIUM,,PASS,POLISH,POLISH,POLISH,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","The image remains a generic compact bird. Use a streamlined raptor torso, hooked beak, long pointed wings, strong talons and narrow tail.",Falcon.png,440,440,RGBA,d64372231af0d3bb7935abf5ff40df8c2c061b5ebd5da2cf61dfe238fc6e3f52,715b8917b13cb8af4cc2dd002286a04ea5f95fec31e46f36c2c7b6aa04ef01b1,,,,,,,,,,,,,,,,,,,,,,,
fauna,Fennec_Fox,Fennec Fox,FAIL,FAIL,FAIL,True,Dogs and dog-like mammals,LOW,,PASS,PASS,PASS,PASS,PASS,PASS,All major regions and defining features are readable at the current stylized scale.,"Large ears are present, but the body is rabbit/deer-like. Use a small canid torso, narrow fox muzzle, digitigrade paws and an oversized bushy tail.",Fennec_Fox.png,440,440,RGBA,1f0307f389b9b9b4878dcb04c4a91fb71217aede1e479aea9cf2a8f12b749143,4c1be2a032625d235f512f6cecefc0114fd47cfa405c88940f1356b93f820241,,,,,,,,,,,,,,,,,,,,,,,
fauna,Fishing_Cat,Fishing Cat,FAIL,FAIL,FAIL,True,Small and domestic cats,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"Spots are placed on an ungulate body. Use a stocky semiaquatic cat scaffold with short strong legs, broad paws, short tail and feline head.",Fishing_Cat.png,440,440,RGBA,f49398b87158248c4ea33d75bfb20cb26a637bbbfe43d6c088e76c06259cb92c,06e16cfd80768b15205cb2ab9587d4cecd6cf323caec526e1fb3dbef7b33accb,,,,,,,,,,,,,,,,,,,,,,,
fauna,Flying_Squirrel,Flying Squirrel,FAIL,FAIL,FAIL,True,Rodents,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The current image is a rabbit-like rodent with no gliding surface. Add a broad patagium between fore- and hindlimbs, flattened tail and squirrel head/paws.",Flying_Squirrel.png,440,440,RGBA,338936a8d898b18f874793d89293a75664e85d9af63d5425b229e26cc5ba43fc,4e0ed6dd64abcb630c6d1870c18d55207bbcf6763bb1b0ee87878ce713a5e98b,,,,,,,,,,,,,,,,,,,,,,,
fauna,Fox,Fox,FAIL,FAIL,FAIL,True,Dogs and dog-like mammals,HIGH,,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,"The coat and tail color are present, but the body is still deer-like. Use a low canid body with paws, pointed muzzle, triangular ears and a large brush tail.",Fox.png,440,440,RGBA,0f12025eee00a0ba24fcbf77c5d36459703348c57f4da6874670ede29c11cc67,9f7d8ea957fabbe63a1e623a7b5d79a1858165be8b2a3c0594ceb16d0e603f18,,,,,,,,,,,,,,,,,,,,,,,
fauna,Frigatebird,Frigatebird,FAIL,FAIL,HOLD,True,Pelicans and diving waterbirds,MEDIUM,,PASS,POLISH,POLISH,PASS,POLISH,POLISH,"Broad family anatomy is usable, but the portrait still shares simplified global body templates and should retain stronger species markers.","The current black generic bird lacks the defining enormous angular wings, deeply forked tail, hooked bill and male throat pouch.",Frigatebird.png,440,440,RGBA,d70c9f228dcf4e2af807c40365f608087be51d3c454c481ced0461eabf71a595,ae44004b2618e7d25d8ad6a6421028b954cebdb2f4d805beff5659b71ad11ba1,,,,,,,,,,,,,,,,,,,,,,,
