category,asset_id,display_name,binary_result,review_band,body_plan,torso,head,eyes,legs_wings_appendages,rear_tail_flukes,signature_traits,global_body_template_risk,near_identical_silhouette_neighbors,assessment_and_required_fix,changed_since_previous_pass,filename,width,height,mode,sha256,exact_duplicate_with,overall_growth_form,roots_or_attachment,stem_trunk,leaves_fronds,flower_fruit_spore_harvest,scale_and_silhouette,fruiting_body_family,cap_body,stem_attachment_substrate,surface_spores_texture,cell_or_body_morphology,membrane_shell_wall,locomotion_structures,internal_structures,colony_or_scale_read,procedural_kind,body_or_growth_plan,head_sensory_region,limbs_wings_roots_appendages,rear_tail_or_terminal_region,material_skin_surface,trait_blend_coherence
fauna,Bobcat,Bobcat,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current ungulate-like body lacks feline shoulders, paws, skull, ear tufts, and short bobbed tail.",True,Bobcat.png,440,440,RGBA,3f48a1af929b7a9f5c9fbe9a5c074bd73ed512163b108a63a0e1348d919c9808,,,,,,,,,,,,,,,,,,,,,,,
fauna,Brown_Bear,Brown Bear,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current long-bodied ungulate/pig scaffold lacks bear shoulders, paws, muzzle, and stocky rear.",True,Brown_Bear.png,440,440,RGBA,0cfd0e3ff50b83f590ed9175af300d7d5e50f05e540ed0632df15c948e08877d,,,,,,,,,,,,,,,,,,,,,,,
fauna,Bull,Bull,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current rabbit-eared ungulate scaffold lacks bovine skull, horn bases, muscular neck/chest, cloven hooves, and heavy rear.",True,Bull.png,440,440,RGBA,1a0bea2ee8820686d4ba4f255c92fa68dfbd14952472d4f1b57f447876f1b861,,,,,,,,,,,,,,,,,,,,,,,
fauna,Bumblebee,Bumblebee,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current bead-like insect lacks wings, fuzzy thorax/abdomen, six legs, and bee proportions.",False,Bumblebee.png,440,440,RGBA,c2a54c03668df104b2a01b5754dbdf37f78d06c9eb9b66076f9ce13ceaf13a1c,,,,,,,,,,,,,,,,,,,,,,,
fauna,Butterflyfish,Butterflyfish,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,LOW,,Use a deeper laterally compressed reef-fish body and stronger butterflyfish fin/pattern identity.,True,Butterflyfish.png,440,440,RGBA,d1b78f1b6445b05cd1c90ebf3c2c3e945d1beed1eb3686bcb3530e617a6f5f46,,,,,,,,,,,,,,,,,,,,,,,
fauna,Caiman,Caiman,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current arrow-like body lacks a broad armored torso, four legs, blunt head, and muscular tail.",False,Caiman.png,440,440,RGBA,ed108521c830cbdb987d5404ddde1aa4a4d4f1906e053452d543f926dd0cabd0,,,,,,,,,,,,,,,,,,,,,,,
fauna,Camel,Camel,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Hump is present, but the body is deer-like. Add camel skull, long curved neck, padded feet, and high-chested stance.",True,Camel.png,440,440,RGBA,1afa7ded82a4bacfb5ed4fd3ba0d1d39ed3756b1b2f9294a464ab4280db2bc85,,,,,,,,,,,,,,,,,,,,,,,
fauna,Caracal,Caracal,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current deer/rabbit-like body lacks a feline torso, paws, short coat, long black ear tufts, and cat tail.",True,Caracal.png,440,440,RGBA,66f6d9e1351f7bad443aa03f540510eff4f567e0ade4394b28dd6ea060db7ede,,,,,,,,,,,,,,,,,,,,,,,
fauna,Cassowary,Cassowary,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current small generic bird lacks a heavy flightless torso, casque, powerful legs, tiny wings, and reduced tail.",False,Cassowary.png,440,440,RGBA,f3091108f6b11d098483a175b5fd7025423b697958a35c8aef2d8b4e48847db8,,,,,,,,,,,,,,,,,,,,,,,
fauna,Cat,Cat,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current long-legged ungulate-like body lacks feline spine, shoulder/chest, paws, skull, and tail articulation.",True,Cat.png,440,440,RGBA,f07a2ec3b4b407e9af487fb641c28253f339edb29a6246eeb393ebc27b3aed0e,,,,,,,,,,,,,,,,,,,,,,,
fauna,Cattle,Cattle,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current rabbit-eared generic ungulate does not read as cattle. Use a bovine head, broad torso, cloven hooves, dewlap, and correct tail.",True,Cattle.png,440,440,RGBA,5da405ab7458590f86d50a192381b2e659d5194980d0b36a5e1919914fa30ef6,,,,,,,,,,,,,,,,,,,,,,,
fauna,Cave_Cricket,Cave Cricket,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current larva-like chain lacks six long legs, enlarged jumping hind legs, antennae, and cricket thorax/abdomen.",False,Cave_Cricket.png,440,440,RGBA,9ae922b9fb669fe74192806f8ca71aa6b700eb6214cba488660e4dbd1d4eb908,,,,,,,,,,,,,,,,,,,,,,,
fauna,Chamois,Chamois,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current generic deer body lacks short hooked horns, compact mountain-goat torso, and sure-footed hoof/leg proportions.",True,Chamois.png,440,440,RGBA,b704a9aa95362e5e65f5ccd8ae3e9aaa9517280eb64710329febbd5f9fdd1aaa,,,,,,,,,,,,,,,,,,,,,,,
fauna,Cheetah,Cheetah,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current ungulate-like body lacks deep chest, tucked waist, feline paws/head, and long balancing tail.",True,Cheetah.png,440,440,RGBA,b79943773e443bf87ac8e1ca769d7496eb7f362541a1a0cdc730d4c93524007e,,,,,,,,,,,,,,,,,,,,,,,
fauna,Chicken,Chicken,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current wader-like body lacks a compact poultry torso, comb, wattles, short beak, broad feet, and raised tail.",False,Chicken.png,440,440,RGBA,76d47a9e979eae30c5c3552a2775bbf7c6c2af80d5869ff00a99579cfc6642f8,,,,,,,,,,,,,,,,,,,,,,,
fauna,Cicada,Cicada,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,HIGH,Aphid | Black_Fly | Cold-Adapted_Insect | Orchid_Bee | Termite | Thrips,"Current bead insect lacks large transparent wings, broad thorax, large eyes, and tapered abdomen.",False,Cicada.png,440,440,RGBA,dbefccba765dde3760df4d87c1374fae534eaf3c7f3ed6c1726212c6544072e9,,,,,,,,,,,,,,,,,,,,,,,
fauna,Clouded_Leopard,Clouded Leopard,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current generic long-legged body lacks feline torso, huge cloud markings, short legs, and very long tail.",True,Clouded_Leopard.png,440,440,RGBA,0c2ac721661f70f91f623652e940ff1250dd4a28cae7274e1ef5a8cd52a041be,,,,,,,,,,,,,,,,,,,,,,,
fauna,Coati,Coati,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current low mammal lacks the long flexible snout, ringed upright tail, and raccoon-like feet.",True,Coati.png,440,440,RGBA,67f0f58e413571bc8fee2286b054bf30f8b6d4a41bd4af342f360410f81ee596,,,,,,,,,,,,,,,,,,,,,,,
fauna,Cockroach,Cockroach,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current bead body lacks flattened oval torso, long antennae, six spiny legs, and folded wings.",False,Cockroach.png,440,440,RGBA,68059aad3be7431268cd8c4e06902bba540801b5f24c414946059a9565aba9aa,,,,,,,,,,,,,,,,,,,,,,,
fauna,Colugo,Colugo,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current small mammal lacks a broad patagium connecting neck, limbs, fingers, and tail.",True,Colugo.png,440,440,RGBA,c99e033ad9a8dca9c1aadce71490925f826ced211613bec7587be0b90f4d4f29,,,,,,,,,,,,,,,,,,,,,,,
fauna,Cougar,Cougar,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current long-legged body lacks feline chest, flexible spine, paws, cat skull, and muscular tail.",True,Cougar.png,440,440,RGBA,ca442564482aaba62bc5962e4b9523cade2b110435e6edf3078dde1c1c588f40,,,,,,,,,,,,,,,,,,,,,,,
fauna,Coyote,Coyote,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current deer-like body lacks canine chest, paws, narrow muzzle, upright ears, and bushy low tail.",True,Coyote.png,440,440,RGBA,b8dffde3f488a46ca4f5f580cf17ddfa4636b53760445913437f19f20ebd7f44,,,,,,,,,,,,,,,,,,,,,,,
fauna,Crocodile,Crocodile,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current arrow-like body lacks a broad armored torso, four splayed legs, powerful jaw, and muscular tail.",False,Crocodile.png,440,440,RGBA,1979a0a1c72fcfed173643528a9e8d9f6fc6d151086141e31d28dc59513d03d1,,,,,,,,,,,,,,,,,,,,,,,
fauna,Dingo,Dingo,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current deer-like body lacks canine paws, skull, chest, and tail carriage.",True,Dingo.png,440,440,RGBA,2737fbd26a099febdbe1656c0b0e89a849c35671e99d7069179fa894c60b111a,,,,,,,,,,,,,,,,,,,,,,,
fauna,Dog,Dog,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current deer-like body lacks a canine ribcage, paws, hocks, muzzle, and species-neutral dog tail.",True,Dog.png,440,440,RGBA,e1ea4d73595e24b3f8495d10d77710a93640c552c9a2ec3565ab989700a37ee4,,,,,,,,,,,,,,,,,,,,,,,
fauna,Dromedary_Camel,Dromedary Camel,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"One hump is present, but the body is deer-like. Add a camel head/neck, long upper limbs, padded feet, and integrated hump.",True,Dromedary_Camel.png,440,440,RGBA,8dc7e705707d8455e97d71d0f9a6e6b8435ca81ea8663a1d8c3a766847dceefb,,,,,,,,,,,,,,,,,,,,,,,
fauna,Dugong,Dugong,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,LOW,,"Current body is too spherical; add elongated sirenian body, downturned muzzle, paddle flippers, and fluked tail.",True,Dugong.png,440,440,RGBA,867d48300dd6d7b957abee406c53cddddbf4e5b7c4e346edeedf4c7ee8b0b55a,,,,,,,,,,,,,,,,,,,,,,,
fauna,Eagle,Eagle,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current small songbird body lacks a hooked bill, heavy raptor chest, large wings, powerful talons, and wedge/fan tail.",False,Eagle.png,440,440,RGBA,956998a9caa2deaa74176a9acc2b3ea97801d856b553a266d543625362d768e0,,,,,,,,,,,,,,,,,,,,,,,
fauna,Emu,Emu,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current compact generic bird lacks the tall flightless torso, long neck, powerful legs, and reduced wings.",False,Emu.png,440,440,RGBA,8be33316a0a033edd5eb46fed2bb9570998e72edb4e2c76df4717653bf1e950b,,,,,,,,,,,,,,,,,,,,,,,
fauna,Fishing_Cat,Fishing Cat,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current spotted ungulate-like body lacks feline head, paws, stocky cat torso, and wetland-cat tail.",True,Fishing_Cat.png,440,440,RGBA,06e16cfd80768b15205cb2ab9587d4cecd6cf323caec526e1fb3dbef7b33accb,,,,,,,,,,,,,,,,,,,,,,,
fauna,Flying_Squirrel,Flying Squirrel,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,Current squirrel body lacks a clearly stretched patagium between fore and hind limbs.,False,Flying_Squirrel.png,440,440,RGBA,4e0ed6dd64abcb630c6d1870c18d55207bbcf6763bb1b0ee87878ce713a5e98b,,,,,,,,,,,,,,,,,,,,,,,
fauna,Fox,Fox,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current deer-like body lacks a narrow fox muzzle, low flexible spine, paws, and full brush tail.",True,Fox.png,440,440,RGBA,9f7d8ea957fabbe63a1e623a7b5d79a1858165be8b2a3c0594ceb16d0e603f18,,,,,,,,,,,,,,,,,,,,,,,
fauna,Gharial,Gharial,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,Current arrow-like body lacks four legs and the defining extremely long narrow snout.,False,Gharial.png,440,440,RGBA,65dedff44c1ed21abcd57b2345166e55edaf9cca6ea633a80745d7bf5ad34e81,,,,,,,,,,,,,,,,,,,,,,,
fauna,Giant_Isopod,Giant Isopod,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current shrimp-like form lacks the broad armored segmented body, many legs, and tail plate of a giant isopod.",False,Giant_Isopod.png,440,440,RGBA,53dc8206682d715186ec2bbcbc40caec8f7be8180e92df6fae39e242c94b1ad3,,,,,,,,,,,,,,,,,,,,,,,
fauna,Giant_Water_Bug,Giant Water Bug,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current generic tiny insect lacks a broad flattened body, grasping forelegs, and swimming hind legs.",False,Giant_Water_Bug.png,440,440,RGBA,ad792580026bb0c3186eb820c26b40e73204707993ffe0a70efd716be576829d,,,,,,,,,,,,,,,,,,,,,,,
fauna,Goat,Goat,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current generic ungulate lacks goat horns, beard, compact chest, split hooves, and short raised tail.",True,Goat.png,440,440,RGBA,3d0082c0dae3a71c48c53c420561f3438cdef11c752ad2a27953169b1a0b8fb6,,,,,,,,,,,,,,,,,,,,,,,
fauna,Grasshopper,Grasshopper,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current bead insect lacks enlarged jumping hind legs, segmented abdomen, wings, and angular head.",False,Grasshopper.png,440,440,RGBA,a7bc388a4f634c73115cb3404257fdb04c3c45092f75579dc4e26d26bfcf4eba,,,,,,,,,,,,,,,,,,,,,,,
fauna,Grizzly_Bear,Grizzly Bear,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current pig-like body lacks the defining shoulder hump, powerful forelimbs, plantigrade paws, and bear skull.",True,Grizzly_Bear.png,440,440,RGBA,fd3a84f1e94c6b49c3bdac8e33f22cb8f7cd3aa1b929fa8e7601a57e5d1977ef,,,,,,,,,,,,,,,,,,,,,,,
fauna,Hammerhead_Shark,Hammerhead Shark,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,HIGH,,Current shark does not show the defining wide hammer-shaped cephalofoil and laterally placed eyes.,False,Hammerhead_Shark.png,440,440,RGBA,cc15d0f0187399afad8da4062892639dccc40b440ae36f7f9694c555f3727ea2,,,,,,,,,,,,,,,,,,,,,,,
fauna,Harpy_Eagle,Harpy Eagle,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current generic bird lacks a massive raptor head, crest, broad wings, thick legs, and oversized talons.",False,Harpy_Eagle.png,440,440,RGBA,c05a3627adc4ad6235deaeddb59165e021fa4611e7ac1d5a1e4144474b4854c7,,,,,,,,,,,,,,,,,,,,,,,
fauna,Hoatzin,Hoatzin,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current generic bird lacks a prominent crest, long tail, heavy crop, and clawed-young lineage cues.",False,Hoatzin.png,440,440,RGBA,16094dab242788a814e30a352b3a70264fac3f35a165c37de49a0d2212302d6f,,,,,,,,,,,,,,,,,,,,,,,
fauna,Honeybee,Honeybee,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current bead-like insect lacks wings, fuzzy thorax, striped abdomen, six legs, and pollen structures.",False,Honeybee.png,440,440,RGBA,00b511bd96cf3da8189147b19887dfb0a9081cee1d16903fe5995ee6a37f6dec,,,,,,,,,,,,,,,,,,,,,,,
fauna,Horned_Lizard,Horned Lizard,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current rounded lizard does not show a broad flattened torso, cranial horns, lateral spines, and short tail.",True,Horned_Lizard.png,440,440,RGBA,9b7aac3d282ba0209c497ca7fecbf8ea6dec91a54b13bd799cd8a7b704e07b17,,,,,,,,,,,,,,,,,,,,,,,
fauna,Horse,Horse,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current deer-like torso and rabbit ears do not read equine. Add a long equine head, mane, deep chest, horse legs/hooves, and flowing tail.",True,Horse.png,440,440,RGBA,e91632032ac22f9e8e32c6524c122e6f78f3055c8146587df7888ace27636644,,,,,,,,,,,,,,,,,,,,,,,
fauna,Humpback_Whale,Humpback Whale,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,LOW,,"Add long pectoral fins, knobbly head, and a more elongated whale body.",True,Humpback_Whale.png,440,440,RGBA,a1ff4f266fd016345b9bbc1d53861dc575f251f0d51822532ebfdf73468471f2,,,,,,,,,,,,,,,,,,,,,,,
fauna,Hyena,Hyena,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,"Current deer/cat scaffold lacks heavy forequarters, sloping back, large head, short rear, and hyena feet.",True,Hyena.png,440,440,RGBA,92aec2b7d3b15603e246fb1bb8f309ff4a10a7ef31cb1f448e6cd4448ebaf413,,,,,,,,,,,,,,,,,,,,,,,
fauna,Isopod,Isopod,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,HIGH,,Current shrimp-like form lacks the flattened segmented isopod body and repeated similar walking legs.,False,Isopod.png,440,440,RGBA,2ae7ef82e6b1a10f11afd5928198d773759f3b823d04f1e00c87d9e8ea18cf4a,,,,,,,,,,,,,,,,,,,,,,,
